!Series_platform_id	GPL21103			
GENE	rna	WT~RANKL	Foxo3~RANKL	@OC_up
RTKN	0.510101233	0.416474	0.597363	
RTFDC1	-0.057389409	54.420301	52.297601	
RTF1	-0.014765313	10.410001	10.303901	
RTEL1	0.141394001	4.549371	5.018851	
RTDR1	0	1.00E-06	1.00E-06	
RTCA	0.131691935	11.834801	12.966901	
RTBDN	-0.408294806	0.0590131	0.0420023	
RSU1	-0.165708271	78.083801	69.609901	
RSRC2	0.043404463	28.081701	28.939701	
RSRC1	-0.045238194	12.422701	12.038901	
RSPRY1	0.108896931	10.221701	11.023901	
RSPO4	0	1.00E-06	1.00E-06	
RSPO3	0	1.00E-06	1.00E-06	
RSPO2	-2.565797029	0.104099	0.00927081	
RSPO1	1.191462603	1.00E-06	0.0128407	
RSPH9	-0.224414018	1.146671	0.980044	
RSPH6A	0	1.00E-06	1.00E-06	
RSPH4A	0.974272501	0.0105744	0.0304215	
RSPH3B	0.495423288	1.983731	2.800631	
RSPH3A	0.475950089	2.762201	3.845671	
RSPH1	0.747838891	0.0666265	0.118677	
RSLCAN18	-0.289401938	0.515229	0.419764	
RSL24D1	0.007846704	37.175501	37.378301	
RSL1D1	-0.012167997	55.510201	55.043901	
RSL1	0.066767897	3.232511	3.386101	
RSG1	-0.629255831	0.481578	0.30781	
RSF1	-0.00167194	4.410541	4.405421	
RSC1A1	-0.097368592	7.898231	7.382111	
RSBN1L	-0.1443297	9.715491	8.789621	
RSBN1	0.00729938	3.875761	3.895471	
RSAD2	-0.051153016	5.466621	5.275841	
RSAD1	0.11564221	1.812011	1.964071	
RS1	-0.09375771	0.054193	0.0501539	
RRS1	0.069484682	22.863101	23.991701	
RRP9	-0.016484638	12.365401	12.224801	
RRP8	0.108606895	10.412501	11.227401	
RRP7A	0.056431137	35.602801	37.023401	
RRP36	0.231021201	19.919701	23.380801	
RRP1B	0.036874483	2.679571	2.749201	
RRP15	0.20867898	9.239851	10.679401	
RRP12	0.044358638	8.936781	9.216141	
RRP1	0.018309387	80.126401	81.149901	
RRNAD1	0.078577747	9.965791	10.524201	
RRN3	0.117797435	15.058701	16.340701	
RRM2B	0.169158959	7.360091	8.276951	
RRM2	0.003497887	9.209391	9.231771	
RRM1	-0.064766494	15.074301	14.412101	
RRH	0	1.00E-06	1.00E-06	
RREB1	0.027859479	32.823501	33.463701	
RRBP1	-0.009033114	67.743801	67.320901	
RRAS2	0.158222898	2.073741	2.315271	
RRAS	0.055019481	27.528301	28.598801	
RRAGD	-0.256850946	3.833831	3.206951	
RRAGC	-0.167966062	114.709001	102.101001	
RRAGB	0.129059389	0.338951	0.371606	
RRAGA	0.025538338	35.075101	35.701701	
RRAD	0.018739991	12.472501	12.635701	
RQCD1	-0.00470374	21.955701	21.884201	
RPUSD4	0.12241527	15.538401	16.915301	
RPUSD3	0.473152162	1.576931	2.192881	
RPUSD2	0.057843849	2.757611	2.870831	
RPUSD1	-0.181094195	7.640071	6.737621	
RPTOR	-0.034180533	11.111701	10.851301	
RPTN	0	1.00E-06	1.00E-06	
RPSA	0.053611582	793.153001	823.182001	
RPS9	0.075398955	1462.740001	1541.220001	
RPS8	0.111960661	1175.390001	1270.240001	
RPS7	0.06881144	658.138001	690.290001	
RPS6KL1	0.961430978	0.0521839	0.111087	
RPS6KC1	-0.189747902	8.473291	7.427801	
RPS6KB2	0.15072535	12.054201	13.382801	
RPS6KB1	0.115506612	8.858411	9.597641	
RPS6KA6	0	1.00E-06	1.00E-06	
RPS6KA5	0.224934823	2.904871	3.396681	
RPS6KA4	-0.115129794	12.688701	11.714701	
RPS6KA3	-0.122301272	20.296601	18.646101	
RPS6KA2	-0.01114217	1.855231	1.840881	
RPS6KA1	-0.067996508	20.014701	19.092801	
RPS6	0.070093915	745.174001	782.273001	
RPS5	0.043261727	1070.590001	1103.180001	
RPS4X	0.021489165	1355.390001	1375.730001	
RPS3A1	0.047049255	1018.100001	1051.850001	
RPS3	0.101508822	433.079001	464.649001	
RPS29	0.095313515	1979.710001	2114.920001	
RPS28	0.109321831	1639.450001	1768.510001	
RPS27L	0.035358437	231.174001	236.910001	
RPS27A	0.081177758	1014.480001	1073.200001	
RPS27	-0.464834801	2.842211	2.056581	
RPS26	0.041036118	1112.200001	1144.290001	
RPS25	0.110788017	873.065001	942.752001	
RPS24	0.122048595	793.632001	863.694001	
RPS23	0.062181951	625.325001	652.867001	
RPS21	0.099019178	1300.010001	1392.370001	
RPS20	0.008804749	1197.380001	1204.710001	
RPS2	0.039458779	996.304001	1023.930001	
RPS19BP1	0.274463778	17.336201	20.971001	
RPS19	0.022171403	839.224001	852.221001	
RPS18	0.099992445	1328.440001	1423.780001	
RPS17	0.004192423	1175.170001	1178.590001	
RPS16	0.086728956	1325.530001	1407.660001	
RPS15A	0.042061234	69.254301	71.303401	
RPS15	0.06453383	1305.650001	1365.380001	
RPS14	0.04357963	1184.940001	1221.280001	
RPS13	0.071509036	788.710001	828.789001	
RPS12	0.032520101	2161.660001	2210.940001	
RPS11	0.040701545	983.673001	1011.820001	
RPS10	0.236152272	766.761001	903.129001	
RPRML	0	1.00E-06	1.00E-06	
RPRM	0.729527643	0.0597933	0.105724	
RPRD2	-0.061052599	7.011031	6.720111	
RPRD1B	-0.078423953	9.504011	9.000641	
RPRD1A	0.107405515	8.792401	9.472731	
RPP40	0.271409166	3.149921	3.803981	
RPP38	0.277532568	5.036671	6.107171	
RPP30	0.276338587	8.553581	10.361501	
RPP25L	0.290890371	14.380201	17.594901	
RPP25	-0.449817399	0.0876826	0.0615169	
RPP21	0.072200584	28.388801	29.846201	
RPP14	0.226718066	15.247101	17.843401	
RPN2	-0.039165958	89.581801	87.182301	
RPN1	-0.044953648	68.443901	66.343801	
RPLP2	0.086864799	1229.130001	1305.410001	
RPLP1	0.091208535	2859.380001	3045.990001	
RPLP0	0.042676495	1363.280001	1404.210001	
RPL9	0.07470968	807.304001	850.212001	
RPL8	0.038257483	904.585001	928.894001	
RPL7L1	0.104003611	41.590301	44.700001	
RPL7A	0.078012809	906.995001	957.391001	
RPL7	0.013744253	992.331001	1001.830001	
RPL6	0.016400379	680.492001	688.272001	
RPL5	0.143988925	450.131001	497.376001	
RPL41	0.299990645	1397.260001	1720.220001	
RPL4	0.053375242	1053.060001	1092.750001	
RPL3L	-0.489674677	0.294144	0.206607	
RPL39L	-1.536064101	1.432651	0.487462	
RPL39	0.076023035	1625.620001	1713.580001	
RPL38	0.102134912	1171.190001	1257.110001	
RPL37A	0.031954376	859.243001	878.487001	
RPL37	0.033025132	204.738001	209.479001	
RPL36AL	0.058964341	509.654001	530.916001	
RPL36A	0.119187838	712.225001	773.565001	
RPL36	0.096156993	819.507001	875.990001	
RPL35A	0.11814425	916.113001	994.293001	
RPL35	0.092437219	1245.120001	1327.510001	
RPL34-PS1	0.113694831	1143.220001	1236.960001	
RPL34	0.086636022	13.172801	13.988701	
RPL32	0.080884791	1385.890001	1465.810001	
RPL31-PS12	4.840047024	1.00E-06	0.276446	
RPL31	0.070523592	335.634001	352.449001	
RPL30	-0.071111761	20.883701	19.878801	
RPL3	0.034787799	871.738001	893.014001	
RPL29	0.051247578	569.865001	590.472001	
RPL28	0.07924879	1415.310001	1495.230001	
RPL27A	0.247644943	513.021001	609.095001	
RPL27	0.018123298	464.181001	470.049001	
RPL26	0.053893301	32.683601	33.928001	
RPL24	0.111448737	647.610001	699.622001	
RPL23A	0.12600653	1665.400001	1817.400001	
RPL23	0.02797952	698.854001	712.540001	
RPL22L1	-0.005066694	145.463001	144.953001	
RPL22	0.192638985	118.406001	135.322001	
RPL21	0.051974045	299.452001	310.437001	
RPL19	0.067809102	1288.750001	1350.770001	
RPL18A	0.071538026	662.862001	696.560001	
RPL18	0.066469666	939.501001	983.800001	
RPL17	0.167878783	868.606001	975.798001	
RPL15	0.051859574	351.081001	363.931001	
RPL14	0.072971528	570.372001	599.964001	
RPL13A	0.189577053	843.902001	962.412001	
RPL13	0.135435983	724.808001	796.148001	
RPL12	0.04113102	942.136001	969.383001	
RPL11	0.009774705	921.395001	927.659001	
RPL10L	0	1.00E-06	1.00E-06	
RPL10A	0.062376018	638.750001	666.973001	
RPL10	0.038632746	2025.050001	2080.010001	
RPIA	0.094973458	7.340201	7.840351	
RPH3AL	-0.210427896	0.197141	0.169028	
RPH3A	-0.868825326	0.00826358	1.00E-06	
RPGRIP1L	-0.39371762	0.561865	0.425284	
RPGRIP1	-0.067340217	0.447788	0.426911	
RPGR	-0.023237598	2.039061	2.006321	
RPF2	0.058128941	12.625401	13.144901	
RPF1	0.111876408	23.004201	24.859901	
RPE65	0	1.00E-06	1.00E-06	
RPE	0.043785263	24.896801	25.664301	
RPAP3	-0.151964912	7.383161	6.644021	
RPAP2	0.140145731	6.069511	6.689721	
RPAP1	-0.085086808	6.172931	5.818821	
RPAIN	0.009629356	6.422841	6.465921	
RPA3	0.263997397	13.468501	16.175001	
RPA2	-0.235079804	5.529631	4.696681	
RPA1	-0.014285365	17.629301	17.455501	
RP9	0.049951056	17.313401	17.923701	
RP2H	0.004669779	34.998301	35.111801	
RP1	0	1.00E-06	1.00E-06	
RORC	1.248864526	0.0284551	0.0813902	
RORB	0.054521747	0.00985913	0.010624	
RORA	0.025830326	2.638701	2.686551	
ROR2	-0.767332644	0.0174443	0.0061236	
ROR1	0	1.00E-06	1.00E-06	
ROPN1L	-0.219216339	1.651511	1.417291	
ROPN1	0	1.00E-06	1.00E-06	
ROMO1	0.068679628	90.550401	94.965801	
ROM1	0.311709245	0.713165	0.887576	
ROGDI	0.220869121	28.092801	32.742001	
ROCK2	0.016131367	15.331301	15.503801	
ROCK1	0.004285786	16.325601	16.374201	
ROBO4	0	1.00E-06	1.00E-06	
ROBO3	0.226685223	0.00690187	0.00977761	
ROBO2	-0.571915921	0.00486645	1.00E-06	
ROBO1	1.427933793	1.00E-06	0.0169088	
RNPS1	0.12518727	61.892301	67.503701	
RNPEPL1	-0.096326166	33.020901	30.887501	
RNPEP	0.227120365	124.110001	145.272001	
RNPC3	0.06420462	7.538061	7.881561	
RNMTL1	0.36853869	5.973931	7.715521	
RNMT	0.075313102	13.498201	14.222101	
RNLS	0.389852602	3.458161	4.534191	
RNH1	-0.069101254	112.224001	106.975001	
RNGTT	-0.030000629	10.587601	10.369501	
RNFT2	-0.224305156	0.865016	0.73902	
RNFT1	0.015892265	12.376501	12.513701	
RNF8	0.106446326	8.290431	8.926021	
RNF7	0.014645663	62.852001	63.493401	
RNF6	0.113917309	21.458401	23.222301	
RNF5	0.247292215	75.340901	89.429801	
RNF44	0.111218321	47.931101	51.773101	
RNF43	1.178197387	0.0310248	0.0828366	
RNF41	0.061878627	17.514601	18.282601	
RNF40	0.078475822	25.926501	27.376401	
RNF4	0.013365231	54.550401	55.058201	
RNF39	0.368359212	0.0282706	0.0394029	
RNF38	0.006867197	14.598101	14.667801	
RNF34	0.164991993	23.299701	26.123901	
RNF32	0	1.00E-06	1.00E-06	
RNF31	0.060464511	12.819001	13.368101	
RNF26	-0.071326313	15.191901	14.458601	
RNF25	0.074605022	12.446501	13.107601	
RNF24	0.217867568	11.440601	13.307201	
RNF223	1.376933264	0.0654783	0.186029	
RNF222	0	1.00E-06	1.00E-06	
RNF220	-0.127115898	20.944501	19.177201	
RNF219	0.133794986	2.925601	3.210871	
RNF217	0.038143258	2.840531	2.916901	
RNF216	0.017844121	15.079901	15.267701	
RNF215	0.131627336	12.375801	13.559001	
RNF214	0.113663961	10.327601	11.175001	
RNF208	-0.101172098	0.546488	0.5088	
RNF207	0.386685629	0.0287034	0.0406003	
RNF20	0.065900281	15.322301	16.038901	
RNF2	-0.087441345	17.611301	16.575001	
RNF19B	0.051753139	117.311001	121.596001	
RNF19A	-0.076187151	17.793701	16.877901	
RNF187	-0.014432248	61.875901	61.259901	
RNF186	0.624585689	0.510566	0.792592	
RNF185	-0.021027413	12.830901	12.645101	
RNF183	0.4097763	0.874237	1.164691	
RNF182	0	1.00E-06	1.00E-06	
RNF181	0.212604739	56.344001	65.291801	
RNF180	-0.062870708	3.149271	3.014551	
RNF170	0.112257994	6.417811	6.937941	
RNF17	0.008472107	0.227194	0.228591	
RNF169	0.01689092	7.914971	8.008301	
RNF168	-0.159615303	5.819501	5.208941	
RNF167	-0.074390339	27.073001	25.711901	
RNF166	0.119311662	20.482601	22.249401	
RNF165	0.48073761	0.00533813	0.0114037	
RNF157	0.021461666	6.121861	6.213761	
RNF152	1.204643841	0.0160407	0.0500187	
RNF151	1.790410938	1.00E-06	0.0245948	
RNF150	-0.399311379	6.470481	4.903631	
RNF149	0.047499145	100.552001	103.918001	
RNF148	0	1.00E-06	1.00E-06	
RNF146	0.006841175	23.300601	23.411401	
RNF145	0.053753058	22.615501	23.474401	
RNF144B	-0.585785762	9.305861	6.197031	
RNF144A	-0.101216219	0.0552264	0.0508071	
RNF141	0.150456603	11.302701	12.546201	
RNF14	-0.003706701	40.442201	40.338401	
RNF139	0.026813806	9.748681	9.931751	
RNF138	0.215841012	6.049831	7.027771	
RNF135	0.101538336	6.917201	7.422311	
RNF133	0	1.00E-06	1.00E-06	
RNF130	-0.110634458	80.756101	74.794001	
RNF13	-0.113219059	93.374601	86.326201	
RNF128	-0.336006024	41.735501	33.062101	
RNF126	0.423632868	18.866601	25.309201	
RNF125	-0.405706354	0.0668296	0.0479961	
RNF123	0.070955326	10.511301	11.041701	
RNF122	1.164446336	0.632895	1.431031	
RNF121	-0.202668103	12.688201	11.024001	
RNF115	0.027591792	28.225201	28.770401	
RNF114	0.060974916	29.116401	30.373801	
RNF113A2	0.098944268	6.534071	6.998631	
RNF113A1	-0.523621483	1.524481	1.057421	
RNF112	0	1.00E-06	1.00E-06	
RNF111	0.038770176	22.495501	23.108501	
RNF11	-0.074654437	28.564001	27.123001	
RNF103	-0.025199339	13.608101	13.372301	
RNF10	0.025117113	48.343601	49.192801	
RND3	0.076070276	16.714301	17.619801	
RND2	-0.396641942	2.880351	2.185581	
RND1	-0.219862587	15.763301	13.533701	
RNASET2B	0.336517813	0.572893	0.726022	
RNASET2A	0.660076916	1.707661	2.704191	
RNASEL	-0.539287419	26.312801	18.103001	
RNASEK	0.050119202	411.300001	425.840001	
RNASEH2C	0.410956274	24.451201	32.512801	
RNASEH2B	-0.350471608	8.417831	6.600181	
RNASEH2A	0.001912402	10.167501	10.181001	
RNASEH1	-0.13038039	9.393831	8.581251	
RNASE6	-0.847223286	1.207801	0.666919	
RNASE4	-1.032599781	26.794701	13.092901	
RNASE12	0.484991142	0.110645	0.158852	
RNASE10	0	1.00E-06	1.00E-06	
RMND5B	0.135251684	20.886501	22.940301	
RMND5A	-0.007598229	27.042001	26.899901	
RMND1	0.167384298	23.070701	25.910101	
RMI2	-0.209305642	1.128311	0.974586	
RMI1	-0.0322345	10.064001	9.841411	
RMDN3	0.018766169	10.301101	10.436101	
RMDN2	0.123607795	1.758581	1.916791	
RMDN1	0.16343912	14.686501	16.449401	
RLTPR	-0.458633174	0.129272	0.0913448	
RLIM	-0.020405173	21.009301	20.714101	
RLF	-0.066556876	5.436291	5.190741	
RLBP1	-1.444151748	0.017213	1.00E-06	
RIT2	0	1.00E-06	1.00E-06	
RIT1	-0.36247737	26.003601	20.224101	
RIPPLY3	0.575684374	0.227528	0.344008	
RIPK4	0.360810169	0.0202583	0.0288561	
RIPK3	0.008539055	10.029801	10.089401	
RIPK2	0.225279354	6.230341	7.284981	
RIPK1	0.005101617	25.706801	25.797901	
RIOK3	-0.041829806	73.564301	71.461701	
RIOK2	0.038955417	9.953211	10.225901	
RIOK1	-0.016427096	7.805001	7.716521	
RINT1	0.168168801	3.724651	4.186371	
RINL	0.031398558	7.649171	7.817691	
RING1	0.157915171	11.603701	12.947101	
RIN3	0.142095587	29.363901	32.404301	
RIN2	-0.286460159	33.446301	27.421201	
RIN1	0.233249427	3.473711	4.085031	
RIMS4	-4.341101452	0.192696	1.00E-06	
RIMS3	-0.482810561	0.519116	0.368626	
RIMS2	0.23158988	0.20506	0.242508	
RIMKLA	1.633059075	1.00E-06	0.0210201	
RIMBP3	-1.717921396	0.0228995	1.00E-06	
RIMBP2	0.248043727	0.00797371	0.0113455	
RILPL2	0.111105129	137.520001	148.530001	
RILPL1	0.109556139	12.656001	13.655301	
RILP	0.328404524	5.738521	7.207981	
RIIAD1	-0.692538313	0.567855	0.347556	
RIF1	-0.06513461	4.962151	4.742661	
RICTOR	-0.016721672	4.413071	4.362101	
RIC8B	-0.010474709	3.644851	3.618411	
RIC8	-0.014577039	24.350501	24.105601	
RIC3	-0.04203855	0.0235986	0.0226337	
RIBC2	-1.653301034	0.0214584	1.00E-06	
RIBC1	0.183242616	0.801006	0.910843	
RHPN2	0.051178844	0.118852	0.123505	
RHPN1	1.015324761	1.00E-06	0.0102156	
RHOX9	0	1.00E-06	1.00E-06	
RHOX8	0.327002274	0.116641	0.148859	
RHOV	-0.530204345	1.716911	1.185811	
RHOU	0.150735063	7.652781	8.496721	
RHOT2	0.054607209	21.975001	22.823101	
RHOT1	0.134072524	17.847601	19.586701	
RHOQ	-0.348330195	11.646201	9.145861	
RHOJ	0.122874596	0.524474	0.57199	
RHOH	0.196647648	0.414687	0.476705	
RHOG	0.044906574	217.409001	224.283001	
RHOF	0.067874419	21.583801	22.624001	
RHOD	-0.837522478	1.014491	0.563309	
RHOC	-0.098821343	18.768201	17.525001	
RHOBTB3	-0.017697526	0.071184	0.0701942	
RHOBTB2	0.223628628	2.492881	2.912531	
RHOBTB1	0.027027793	6.938401	7.069801	
RHOB	-0.048756649	44.189901	42.721101	
RHOA	-0.025573216	292.594001	287.453001	
RHO	-0.588312526	0.110119	0.0698936	
RHEBL1	-0.792715682	1.947901	1.120211	
RHEB	0.076177107	60.743401	64.037501	
RHD	-0.322885088	0.454473	0.361332	
RHCG	0	1.00E-06	1.00E-06	
RHBG	0	1.00E-06	1.00E-06	
RHBDL3	0.889712145	0.0298713	0.0638738	
RHBDL2	0.648959792	0.142446	0.229041	
RHBDL1	0.418368072	1.454471	1.947141	
RHBDF2	0.022940085	17.222401	17.498601	
RHBDF1	0.11567597	3.735811	4.048521	
RHBDD3	0.004271856	10.207801	10.238101	
RHBDD2	-0.051488503	5.325461	5.138401	
RHBDD1	-0.062945318	14.753801	14.123501	
RHAG	0.706505445	0.038944	0.0698691	
RGSL1	-0.635606718	0.0514801	0.0295729	
RGS9BP	0.772808465	0.0061976	0.0176751	
RGS9	-0.878426064	0.0883575	0.0435026	
RGS8	-1.573089672	0.0197571	1.00E-06	
RGS7BP	0.41351285	0.0850534	0.116604	
RGS6	0	1.00E-06	1.00E-06	
RGS5	0	1.00E-06	1.00E-06	
RGS4	1.058650166	1.00E-06	0.0108319	
RGS3	0.022076454	9.191091	9.332971	
RGS22	0	1.00E-06	1.00E-06	
RGS20	-0.434609382	0.107045	0.0766009	
RGS2	-2.96E-05	19.513001	19.512601	
RGS19	0.091322373	67.195101	71.586701	
RGS18	-0.000121705	6.391461	6.390921	
RGS17	0.512347621	1.00E-06	0.00426512	
RGS16	-0.601797194	0.728335	0.476513	
RGS14	-0.112066649	6.852611	6.339711	
RGS13	0	1.00E-06	1.00E-06	
RGS12	0.250099485	0.322111	0.384976	
RGS11	-0.28948778	0.500584	0.407756	
RGS10	0.114624246	205.618001	222.622001	
RGS1	-1.656428877	1.365901	0.426468	
RGR	0	1.00E-06	1.00E-06	
RGP1	0.064841519	11.197301	11.712501	
RGN	0	1.00E-06	1.00E-06	
RGMB	0.265858058	8.316771	10.001701	
RGMA	-0.958810484	0.00943901	1.00E-06	
RGL3	0.360169077	2.805891	3.604411	
RGL2	0.213101558	55.730901	64.603601	
RGL1	-0.842858229	14.192301	7.908321	
RGCC	0.323905485	0.233518	0.294815	
RGAG4	0.013606795	10.796101	10.898501	
RGAG1	-0.19840083	0.00821434	0.00587409	
RFXAP	0.23850159	6.346461	7.489141	
RFXANK	0.167441375	3.201881	3.597151	
RFX8	0.930242362	0.0376082	0.080722	
RFX7	0.00393035	7.244331	7.264121	
RFX6	0	1.00E-06	1.00E-06	
RFX5	0.16766438	4.272101	4.799821	
RFX4	0	1.00E-06	1.00E-06	
RFX3	-0.555731298	0.477757	0.321827	
RFX2	-0.825712266	0.0728731	0.0367573	
RFX1	0.120098436	5.667521	6.160381	
RFWD3	-0.125647383	17.213901	15.777301	
RFWD2	0.103333911	22.211301	23.861301	
RFTN2	-0.509578651	1.297611	0.908502	
RFTN1	-0.257751465	17.746301	14.841201	
RFT1	-0.181412651	8.844621	7.798351	
RFPL4B	0	1.00E-06	1.00E-06	
RFPL4	0	1.00E-06	1.00E-06	
RFPL3S	0	1.00E-06	1.00E-06	
RFNG	-0.032965107	8.300981	8.113231	
RFK	0.061598267	17.591501	18.359301	
RFFL	0.016512008	7.752141	7.841491	
RFESD	-0.239289025	2.796841	2.367851	
RFC5	0.030710628	6.543051	6.684041	
RFC4	0.007645973	7.143001	7.181011	
RFC3	0.144450721	9.635261	10.651001	
RFC2	-0.024534562	32.375901	31.829801	
RFC1	-0.103026257	9.996801	9.307111	
REXO4	0.015956793	20.885901	21.118301	
REXO2	-0.111982919	36.636101	33.899201	
REXO1	0.080910946	9.709051	10.269701	
REV3L	0.086267767	2.006221	2.130461	
REV1	0.135649324	4.752081	5.221561	
RETSAT	0.288419112	28.728201	35.088001	
RETNLG	-6.666372334	1.005831	1.00E-06	
RETNLB	0	1.00E-06	1.00E-06	
RETNLA	0	1.00E-06	1.00E-06	
RETN	0	1.00E-06	1.00E-06	
RET	0.320463699	0.11735	0.149026	
REST	-0.080649675	10.145001	9.592891	
RESP18	0	1.00E-06	1.00E-06	
RERGL	0	1.00E-06	1.00E-06	
RERG	0.36968938	0.0204679	0.0293668	
RERE	-0.157616277	28.620401	25.657301	
RER1	0.042073452	71.315501	73.426201	
REPS2	-0.071812539	12.043601	11.458301	
REPS1	0.074719594	12.908501	13.595201	
REPIN1	0.095560839	16.050001	17.149801	
REP15	0.509624481	0.29672	0.426671	
RENBP	0.086072434	105.022001	111.479001	
REN2	0	1.00E-06	1.00E-06	
REN1	0	1.00E-06	1.00E-06	
REM2	1.290757815	1.00E-06	0.0144681	
REM1	2.126313254	1.00E-06	0.0336644	
RELT	0.388881271	6.578711	8.617111	
RELN	0.528418055	1.00E-06	0.00442491	
RELL2	0.482679647	0.27085	0.382442	
RELL1	0.043960372	11.512301	11.868801	
RELB	0.348980049	38.952601	49.615101	
RELA	0.014635285	38.289201	38.679701	
REL	-0.100905748	15.341001	14.304001	
REG4	0	1.00E-06	1.00E-06	
REG3G	0	1.00E-06	1.00E-06	
REG3D	0	1.00E-06	1.00E-06	
REG3B	0	1.00E-06	1.00E-06	
REG3A	0	1.00E-06	1.00E-06	
REG2	0	1.00E-06	1.00E-06	
REG1	0	1.00E-06	1.00E-06	
REEP6	-0.158287756	0.398865	0.356379	
REEP5	0.034206935	134.775001	138.009001	
REEP4	0.188546005	18.018201	20.535201	
REEP3	-0.385882139	24.578701	18.808001	
REEP2	-1.505275965	0.0560487	0.0132665	
REEP1	0.944935372	0.0430219	0.0920726	
RECQL5	0.025373226	6.020001	6.126991	
RECQL4	0.033045446	0.657855	0.673329	
RECQL	-0.052466418	10.711401	10.328501	
RECK	-0.563729155	0.0798482	0.0507869	
REC8	0	1.00E-06	1.00E-06	
RDX	0.040294526	46.315101	47.627201	
RDM1	-0.158811737	5.401491	4.837411	
RDH9	-0.364279427	0.236595	0.181569	
RDH8	0	1.00E-06	1.00E-06	
RDH7	0	1.00E-06	1.00E-06	
RDH5	-0.342326059	0.314464	0.245927	
RDH19	-0.382082398	0.0458897	0.0328858	
RDH16	0	1.00E-06	1.00E-06	
RDH14	-0.007604378	17.414101	17.322501	
RDH13	0.133704509	24.516501	26.898201	
RDH12	-0.777961137	0.0923165	0.04967	
RDH11	-0.070167278	9.894481	9.424291	
RDH10	-0.112042763	3.296211	3.049161	
RDH1	-0.184710726	0.352348	0.308803	
RD3	-1.677043546	0.0916747	0.021796	
RCVRN	-1.75389039	0.117299	0.0277443	
RCSD1	-0.367323866	5.986641	4.638711	
RCOR3	0.165485223	7.548381	8.467051	
RCOR2	-0.641433731	0.329662	0.207749	
RCOR1	0.033207671	25.057901	25.641601	
RCN3	0.318544696	0.545061	0.682201	
RCN2	-0.093991432	20.769101	19.458501	
RCN1	0.191028627	2.342071	2.675071	
RCL1	-0.040888692	6.676941	6.490081	
RCHY1	0.011249587	26.382101	26.588701	
RCE1	-0.135112421	12.583801	11.457901	
RCCD1	0.279351885	1.643081	1.996261	
RCC2	0.182922523	70.722501	80.284201	
RCC1	0.041873033	19.718701	20.299701	
RCBTB2	-0.31049477	14.877301	11.994601	
RCBTB1	-0.099415592	6.057821	5.653771	
RCAN3	-0.018163169	10.261101	10.132601	
RCAN2	0.356559718	0.264103	0.340953	
RCAN1	-0.283904173	76.531101	62.858201	
RC3H2	-0.1142999	6.283071	5.803731	
RC3H1	-0.150500262	9.506061	8.563381	
RBX1	0.015742917	42.024601	42.485801	
RBPMS2	0.983710931	1.207621	2.397901	
RBPMS	-1.216007244	1.990221	0.85104	
RBPJL	0	1.00E-06	1.00E-06	
RBPJ	-0.166162087	39.356801	35.074101	
RBP7	0	1.00E-06	1.00E-06	
RBP4	1.281601013	0.268362	0.666722	
RBP3	0	1.00E-06	1.00E-06	
RBP2	0	1.00E-06	1.00E-06	
RBP1	0.501257641	0.238684	0.341999	
RBMXL2	2.391964298	1.00E-06	0.0424924	
RBMXL1	-0.03275989	34.651301	33.873101	
RBMX2	-0.106193637	2.893161	2.687141	
RBMX	0.110731711	19.806801	21.387701	
RBMS3	1.354807557	0.0110715	0.0438931	
RBMS2	0.084543594	7.251371	7.689611	
RBMS1	-0.024366113	35.649101	35.051901	
RBM8A	0.065174464	21.729201	22.733801	
RBM7	0.027345265	49.663201	50.613701	
RBM6	0.106350755	17.392201	18.723501	
RBM5	-0.05425267	32.891801	31.677501	
RBM4B	0.050615635	3.283491	3.401091	
RBM48	-0.388767188	2.960561	2.258861	
RBM47	-0.094807283	20.581901	19.272201	
RBM46	1.424541387	1.00E-06	0.0168456	
RBM45	0.037842569	21.527001	22.099401	
RBM44	0.967834586	0.0103323	0.029768	
RBM43	-0.039039053	8.348251	8.125111	
RBM42	0.141865697	35.840801	39.545301	
RBM41	-0.037350704	3.284561	3.200361	
RBM4	0.280143034	5.952151	7.229931	
RBM39	-0.046788562	86.705901	83.938701	
RBM38	0.327239451	15.042801	18.875401	
RBM34	0.107728054	8.031531	8.654991	
RBM33	0.013305493	8.934101	9.016971	
RBM3	-0.145492448	244.639001	221.170001	
RBM28	0.108062503	9.770941	10.531701	
RBM27	0.087071641	9.636381	10.236501	
RBM26	-0.050705003	9.729231	9.392881	
RBM25	-0.016402324	34.276201	33.888601	
RBM24	0.960397843	1.00E-06	0.00946041	
RBM22	0.146376633	29.044301	32.146901	
RBM20	-0.146038473	0.00507177	0.00362079	
RBM19	-0.038536242	6.338051	6.170731	
RBM18	-0.188758485	10.369601	9.096651	
RBM17	0.059910044	32.359701	33.732201	
RBM15B	-0.062193586	6.313751	6.046931	
RBM15	0.077117992	4.086991	4.311951	
RBM14	-0.07094888	19.717701	18.771001	
RBM12B2	-0.158476152	2.263211	2.026731	
RBM12B1	-0.137809398	0.985787	0.895069	
RBM12	-0.106044175	10.065101	9.351101	
RBM11	0.142356525	0.194346	0.215538	
RBM10	-0.088361792	11.779301	11.078901	
RBL2	-0.14432042	12.011701	10.867301	
RBL1	-0.191979918	3.865631	3.382741	
RBKS	0.087816877	10.847101	11.528501	
RBFOX3	0	1.00E-06	1.00E-06	
RBFOX2	0.28374743	6.411401	7.807111	
RBFOX1	0.067857185	0.0218717	0.0234066	
