!Series_platform_id	GPL6885			
GENE	rna	Control~osteoclast~progenitors~1	Control~mature-osteoclast~progenitors~1	@OC_up
CTSS	-0.458723374	10.80312261	7.857950738	
RARB	0.082302703	4.698579114	4.975003347	
ELP3	0.07753939	8.891562312	9.383077781	
AP1G2	0.259929282	5.838869137	6.993552927	
ABCC12	0.018042491	4.549772514	4.607155565	
KLRA23	-0.013968413	4.716088288	4.670550326	
OLFR642	0.031789521	4.746373801	4.852342845	
SYT14L	-0.07158175	4.77767898	4.545927126	
OLFR1423	0.00643112	4.718823928	4.73995072	
A630042L21RIK	-0.025458089	10.14862721	9.970938395	
DDX18	-0.090350284	11.33893539	10.64999443	
TNRC15	-0.139522275	6.237477295	5.661583061	
ZFP786	-0.014054668	4.833883859	4.78692408	
SPATS1	-0.009772657	4.774705212	4.742403674	
TTC3	0.074749618	6.823801669	7.187211207	
SLC6A2	0.00324283	4.830285095	4.841177123	
ZNRD1	-0.071062213	9.787493638	9.316595308	
OLFR1261	0.014588167	4.607490173	4.654417927	
B930093C12RIK	0.736417634	5.114702899	8.527928032	
OLFR1351	-0.000240131	4.644223146	4.643448533	
CHEK2	-0.078489846	7.390209689	6.998357188	
GPIAP1	-0.085093671	11.20865093	10.5660839	
SLC22A1	0.006055621	4.616021816	4.635480058	
OGT	-0.047323006	8.177564791	7.913354835	
C130053K05RIK	-0.008967933	4.613978596	4.585324644	
BC010250	-0.081221676	8.364667519	7.90621195	
WNT16	0.037536206	4.648384884	4.771177772	
GPR100	0.009611372	4.63224836	4.663278711	
LIM2	0.075021294	4.845065006	5.104211787	
9830147P19RIK	0.009787829	4.608911527	4.64035464	
FANCL	-0.124990282	8.455879417	7.753297948	
V1RC18	0.023909209	4.547171125	4.623324589	
LRRC4C	0.01707638	4.626101427	4.681302434	
CEBPA	-0.329521615	6.588137479	5.240799921	
ZFP454	-0.016002177	4.970180233	4.915245976	
APOA2	0.32385331	4.796962316	6.006726606	
ADPRHL1	0.039891671	4.927866998	5.066308151	
TYMS	-0.220197005	6.961647629	5.974798387	
BC004728	-0.524950802	7.83238358	5.440321773	
ADM	0.052223423	4.955491038	5.138527292	
LFNG	0.194158303	5.796152582	6.632566604	
LOC236785	0.020490469	4.745440438	4.813463454	
TBX3	0.071589974	4.745950647	4.98790583	
HIBADH	0.161736498	12.06521142	13.49772719	
SAH	0.039182394	4.624879471	4.752483905	
D11ERTD707E	-0.031875037	9.859414377	9.643749855	
BC003266	0.171874724	9.990915181	11.256245	
SMOX	-0.0769681	8.760814031	8.305152068	
2310031L18RIK	-0.406923569	6.630863568	4.998738495	
ZBTB33	0.005115385	7.035766598	7.060793218	
PEX6	0.1436291	7.128597047	7.875868582	
HOOK1	0.013008032	4.650172971	4.69238133	
3010026O09RIK	0.021679312	6.974899574	7.080653929	
IL3	0.000397611	4.55713212	4.558391009	
KPNA3	-0.01642483	9.12202321	9.018646309	
CCT3	0.067517622	11.42697632	11.97494517	
KCTD6	0.303902185	7.886969007	9.73864166	
LMCD1	0.044896335	4.610482747	4.756531819	
GCG	0.026940792	4.57018815	4.656521868	
DMGDH	0.023208895	4.573063408	4.647388209	
EMID2	0.01153323	4.691427501	4.729162405	
HIF3A	0.007308932	4.787745806	4.812113656	
MRPL50	0.061849482	11.32839747	11.82505353	
BC024997	-0.023126048	4.598205036	4.524925535	
MUC10	0.02694177	4.662250107	4.750322362	
COX11	0.202526745	7.217129755	8.306344612	
TAS2R134	-0.019138819	4.612620173	4.551701377	
B230312I18RIK	-0.005607754	6.187732054	6.163688234	
SETD8	0.126444648	8.339844659	9.104692629	
OLFR107	-0.173013714	5.387082803	4.777146998	
OLFR195	-0.034072958	4.645175539	4.536519727	
CXCL11	0.020006755	4.626049134	4.690787978	
POU4F2	0.004476904	4.674974257	4.689535031	
FTSJ3	-0.217183592	8.348372976	7.180233118	
4933428G20RIK	0.161819472	7.521332399	8.415279768	
SLC18A3	0.039869408	4.53082834	4.658065831	
CPSF3	0.103359004	5.200455332	5.587445034	
SNAP91	0.051072074	4.658258466	4.826476921	
SUPT4H	0.114356743	9.208439441	9.968889578	
SAA4	0.017627682	4.612174235	4.668997072	
AKR1A4	0.022869906	14.11098512	14.33661762	
A930004D23RIK	0.027341889	4.615800371	4.704304336	
SEPP1	-0.530411869	9.214358496	6.376549618	
SNRPA	0.0268685	10.5360474	10.73429548	
4921528G01RIK	-0.162369434	5.365380396	4.793205116	
C030002O17RIK	-0.054533067	4.832955207	4.653310821	
CASP1	-0.128047827	13.14420505	12.02700305	
NIPSNAP3B	0.106642607	7.349924319	7.914574853	
C530043G21RIK	0.086829453	8.256994733	8.769826439	
ZMYND19	0.002539437	4.726378514	4.734722845	
POLE3	0.045068983	8.770511047	9.049138711	
DUSP18	-0.017783096	4.688050698	4.630496547	
AS3MT	0.344180931	5.760044261	7.314667735	
PTGDR	0.005701954	4.582048821	4.600233856	
NDFIP2	0.121633357	8.653022911	9.415073637	
H1FX	-0.053105067	5.034346803	4.852042143	
LOC271444	-0.029115945	4.63360143	4.540825297	
CRP	-0.013309786	4.64173133	4.599013482	
PNRC1	0.035694777	4.633096255	4.749407445	
CST6	0.044408307	4.689455031	4.836360661	
ARL10A	0.056569647	4.61461751	4.799555933	
TEX264	0.268709465	8.768404178	10.56560404	
ATP6V0A1	-0.402800659	8.367574239	6.326700841	
CRX	-0.08753363	4.87050353	4.583189708	
OLFR1346	-0.024369231	4.750318655	4.670585208	
HES1	-0.363448571	6.14933495	4.777677631	
CHORDC1	-0.056385064	11.20768429	10.7777188	
HMGN3	-0.118588883	11.60269064	10.68631159	
CARD4	-0.31517623	7.416066625	5.958721869	
1700057K13RIK	-0.026673028	4.68382924	4.597845455	
PPAP2B	-0.132776312	6.072528595	5.537719657	
2210016L21RIK	0.094595883	7.452200896	7.957886426	
PTHR2	-0.068282301	4.850725759	4.626028511	
RASAL1	0.302164411	5.007344061	6.176349255	
CYP3A44	0.016539767	4.644445474	4.698113382	
ATOH7	-0.011681201	4.685674923	4.647808527	
CASQ2	-0.004748299	4.697728068	4.682259135	
GTF2B	-0.027747315	5.483868872	5.379215068	
ASS1	-0.487230662	9.828970571	7.009054548	
UBE2Q	0.031072408	10.06496251	10.28430818	
ZFP36L1	-0.238759274	9.763839024	8.273072804	
5730521E12RIK	-0.013696044	4.585361771	4.541942704	
CDH2	-0.014996513	4.638694861	4.590622934	
4732437J24RIK	0.157048996	7.204666581	8.034382709	
BC011209	0.069576731	4.746058978	4.981049929	
SNRPN	0.026209392	4.624766801	4.709735932	
LIX1	-0.160467565	5.554050122	4.968350653	
2210023G05RIK	0.069516084	4.948625393	5.193406159	
TRIM37	-0.208757293	5.577439239	4.824711976	
LIMS2	0.951725493	5.580547004	10.80314992	
6330404A07RIK	0.23569626	5.794736681	6.824931523	
TDPOZ1	-0.003268047	4.745146114	4.734386769	
NQO2	-0.025186581	10.5399726	10.35738951	
TIAL1	-0.124409699	7.291912799	6.688623846	
LYZ	0.001347577	10.6599526	10.66992373	
OLFR571	-0.044962128	4.829827168	4.68131834	
SQRDL	0.030844602	9.223428377	9.422963093	
PURB	0.048186567	6.681175426	6.908437442	
BIRC3	0.349016081	5.601554579	7.137390338	
ARHGAP18	0.056411568	9.558518138	9.940072806	
DNAJB9	0.062845006	7.404774973	7.734907	
ALOXE3	0.118939214	4.620173485	5.018072539	
SPATA17	-0.006488617	4.623906385	4.60311188	
FOXN4	0.057770087	4.985569227	5.189666753	
EMP3	-0.044023529	13.60730462	13.19805139	
ROCK2	-0.078209056	6.009721359	5.692077519	
ZMPSTE24	-0.037570327	8.684753581	8.461249693	
RANBP1	-0.088316635	9.111997491	8.570330023	
COL16A1	-0.008760861	4.643983561	4.615807576	
CECR6	-0.004513032	4.620780067	4.606316718	
SPRR3	-0.015394631	4.625059235	4.575862648	
MAPK12	-0.002184882	4.698756423	4.691630669	
LYPLAL1	0.337884636	5.67616199	7.176751668	
SEMA3E	0.027781738	4.510288911	4.598178885	
BTG4	0.162120674	5.07010297	5.674283123	
5730568A12RIK	0.217156303	6.890176935	8.011041954	
GNT-IX	-0.012025307	4.644673879	4.606036989	
STMN1	-0.469460422	9.671676989	6.982442767	
ABCC1	-0.254301719	6.363422949	5.333432093	
SPAG11	-0.009718521	4.650957617	4.61966522	
ZBTB7	0.016195779	11.1682064	11.2944006	
SENP1	-0.398328215	7.067729713	5.360135363	
CYP2R1	0.042721565	4.643259145	4.78311349	
IRS1	0.015438845	5.121542223	5.176751748	
EBNA1BP2	-0.152262804	7.699711648	6.927491502	
B830021E24RIK	-0.026139946	4.74211116	4.656783816	
ZBTB5	-0.128706444	7.882258851	7.208663883	
GFM	0.240268222	8.493391688	10.03431042	
AYTL1	-0.631865636	8.590399162	5.540193169	
NCK1	0.02985903	6.433771144	6.568525637	
SLC6A14	-0.031759985	4.621615499	4.520767643	
SYT2	0.001710336	4.599798767	4.605266992	
NAGA	0.266986264	6.941508859	8.354692006	
WNT7A	0.009203193	4.558975359	4.588214779	
YAP1	-0.012703366	4.689856192	4.648654202	
PLXDC1	-0.769233512	9.336693008	5.473976914	
DAZAP1	-0.015907354	7.197819317	7.11878145	
NDUFAF1	0.177432225	10.0088965	11.32006267	
PTGDS	0.001570309	5.215027057	5.22071736	
OLFR1121	-0.00471394	4.583644574	4.568659545	
DDC8	2.00E-05	5.009704852	5.009774267	
ACVRL1	-0.464122559	6.355066668	4.604112136	
GPBAR1	-0.034364025	4.742424495	4.630562468	
4921501M20RIK	0.116220499	8.625361374	9.349795777	
9130002C22RIK	-0.018042614	4.688028584	4.629640029	
ABAT	0.072830272	4.839255807	5.090340737	
MAT2A	-0.067598644	10.22542822	9.756901269	
MAT2B	0.120610444	7.296919056	7.93404431	
YLPM1	-0.052882417	8.08595852	7.794571806	
SMARCD3	0.063846922	4.62490725	4.834633039	
BC005624	0.175777369	6.630561589	7.490998344	
TNFSF6	0.021482925	4.749764871	4.821172052	
TGOLN1	0.189936049	8.987348732	10.25339401	
SIAT7D	0.418884957	6.74282013	9.017803935	
TM6SF1	-0.160953164	7.953001001	7.112378347	
V1RA6	0.045061111	4.577895909	4.723455537	
BC002230	0.068055989	7.195327006	7.543367053	
OLFR577	0.004385927	4.611790518	4.625862569	
SEC22L3	-0.058634445	6.346958876	6.093777237	
PTCH1	-0.024256206	4.675621471	4.597500123	
ZCCHC3	-0.203839682	5.870637972	5.095785732	
GALNT15	-0.054209467	4.721306992	4.546826074	
PLEKHM1	0.168726048	7.927629686	8.91241533	
SOAT1	-0.073236522	10.55007947	10.02738995	
0610012D14RIK	0.07209315	5.056262618	5.315861877	
WDR40A	0.15376935	5.955767544	6.626750847	
DUSP6	-0.322934627	9.921896964	7.929976114	
OLFR362	0.038533681	4.534580592	4.657599698	
GNS	0.131303306	11.55270673	12.6544328	
CAR11	-0.081387879	4.925514745	4.654791756	
TREH	0.078673144	4.654837572	4.916284651	
TNFRSF25	0.04421315	4.734432543	4.882082365	
6330578E17RIK	0.001511521	5.066223024	5.071544203	
G430022H21RIK	-0.068558904	6.926387787	6.604470413	
2510027N19RIK	-0.096069312	12.00365047	11.22971367	
2810004A10RIK	-0.012391424	4.618853893	4.579266548	
SLC6A7	0.041429683	4.952839341	5.097422597	
CACNG3	0.009030194	4.613986322	4.643019796	
E430036I04RIK	-0.655957969	7.493124491	4.751887464	
OLFR1106	0.043171256	4.563978604	4.702918958	
CHL1	0.000627996	4.635355796	4.637378331	
SOX2	-0.004608956	4.731966401	4.716841487	
BC020151	-0.01299069	4.828856516	4.785480805	
DAF1	-0.128151589	5.217224803	4.772926484	
4930447C04RIK	0.043991611	4.468063115	4.606714356	
PA2G4	-0.061569498	12.06952236	11.56485333	
SEMA3F	-0.024302748	4.800356459	4.720002865	
1200009I06RIK	0.405978981	5.272570866	6.989341491	
3110010F15RIK	0.052424347	4.728899143	4.904267204	
STAM	0.137946001	5.840739946	6.427788119	
SPRR2B	0.0546152	4.561425844	4.737800837	
0610005K03RIK	0.056269173	4.647336487	4.832574661	
TFPI	-0.042729696	5.593432679	5.429904034	
GRIA1	-0.002048861	4.670437797	4.663795535	
SRD5A2L	0.06510547	10.0452187	10.50938185	
DAB1	-0.015424921	4.974728925	4.921717395	
DHX40	0.040323876	4.555718693	4.685132426	
HIST1H2AN	-0.320758841	13.13940311	10.51805165	
TBXA2R	-0.017087272	4.950247621	4.891845018	
SFXN4	0.301630239	5.998847869	7.396123645	
E2F2	-0.674841299	9.122262783	5.710459652	
GATA3	0.150271123	4.749097984	5.271542295	
TAS2R114	-0.008763457	4.812227682	4.783024492	
GSTA2	0.014817839	4.556917019	4.60406528	
GGA1	0.118957306	6.475937163	7.03340164	
PBX2	-0.015265702	7.064548216	6.990084403	
ICK	0.121095092	6.94444395	7.553375569	
PAX9	0.013243762	4.689360442	4.732698605	
DPM3	0.091105225	9.526487939	10.14813241	
4930595M18RIK	-0.054100367	4.713219202	4.539380566	
LETM1	0.136753372	6.074280162	6.679229103	
BC011210	-0.099269316	6.164869787	5.754275934	
TMEM34	-0.137163023	6.868404591	6.244571093	
DLX4	-0.053214726	4.819063192	4.64418519	
RAB7	0.181131442	9.544367024	10.82248054	
ITIH5	0.023335273	4.812524048	4.891161564	
2310061G07RIK	0.016024399	4.587460868	4.638810743	
1700063I17RIK	0.044353579	4.805201596	4.95553711	
OLFR1080	0.114736738	4.799542365	5.197663983	
1110033O09RIK	0.005312596	4.610327858	4.62737317	
GNG12	-0.214336275	5.386417011	4.641401779	
LDHC	0.029883326	4.709837247	4.80862135	
TINAG	0.028988341	4.816414569	4.914373478	
GZMA	0.027940285	4.751695313	4.844812558	
XPNPEP2	0.042370406	4.786135369	4.929081533	
1500015O10RIK	-0.018733413	4.656063902	4.595866682	
9830137M10RIK	-0.101413689	4.917841142	4.583335172	
TBX6	-0.024576656	5.019869362	4.934910039	
OLFR54	0.010481798	4.534790608	4.567930703	
CALN1	0.026306632	4.658620467	4.744530687	
2410129H14RIK	-0.025163788	7.059225045	6.936991259	
CMTM8	0.070343015	5.791323262	6.081193885	
NEGR1	0.022146312	4.753012251	4.826691669	
A630005A06RIK	0.098315939	6.025249713	6.450874285	
9330109E03RIK	0.011995852	4.559904968	4.598061644	
LOC209510	0.02624561	5.059316428	5.15238175	
2410006F12RIK	-0.006446371	9.070113203	9.029631189	
MOV10	0.214446906	4.842472833	5.620125344	
9030625G08RIK	0.003897856	4.597876456	4.610342793	
BC017158	0.093261697	8.130748927	8.674382205	
AI413782	0.250688107	7.608995115	9.054885752	
CPD	-0.578974624	9.684084148	6.479601908	
NFS1	0.205920434	7.538596324	8.696717	
2810446P07RIK	-0.020006489	5.102403398	5.031996753	
OLFR937	0.015888877	4.617288954	4.668532479	
ABPA	0.089352534	4.78990802	5.096586679	
PDE3B	-0.021026147	4.827770688	4.757775285	
D430026P16RIK	0.051391203	4.615872115	4.783623446	
TPD52L1	-0.011944466	4.868912921	4.828685824	
LOC242681	-0.052353835	5.326162236	5.135990147	
ZRF2	-0.062804977	10.41416426	9.970103933	
PEX11A	-0.01157624	6.314438965	6.263894482	
5830457O10RIK	0.117185785	7.192042469	7.801458222	
AGGF1	0.061007952	7.243359726	7.556663839	
TM4SF12	0.03657556	4.598806983	4.717144315	
D19ERTD737E	0.025356008	5.427188713	5.523594432	
BCKDK	0.043872089	9.860315818	10.16508073	
RABL3	-0.022464912	9.941619978	9.787858673	
ARPC4	0.005506594	12.36213238	12.40944556	
MMP13	-0.37512538	6.725053156	5.182984618	
RAB4B	0.003202319	8.783160625	8.802700292	
2510006D16RIK	-0.011042364	11.61814477	11.52948288	
SPA17	0.015928936	4.652838418	4.704606531	
UXT	0.064673152	10.61416495	11.10126137	
PRPF40B	-0.034493491	5.242099258	5.11801574	
AI314180	-0.060931892	9.403094345	9.013812948	
ZP3R	0.00799539	4.569419839	4.594869357	
B3GAT1	0.00139479	4.719148692	4.723723019	
BHLHB2	0.456570333	9.027863471	12.3924402	
2810021J22RIK	0.025527285	5.11549818	5.206996701	
CPOX	0.005523383	5.002208559	5.021434668	
MRPL39	-0.036703834	6.752344693	6.582472838	
2310016M24RIK	0.178476834	11.16913954	12.64130302	
PDRG1	0.145147406	9.707295752	10.73580967	
SOCS4	-0.171445888	8.108768296	7.199079124	
C230096C10RIK	-0.093393276	5.723192593	5.363810576	
GPRK5	-0.381066899	6.265991693	4.809142776	
TRABD	0.009579812	7.723542805	7.775066101	
CDK5RAP1	0.117564875	7.809615653	8.47351752	
GNEFR	0.067438082	8.786243562	9.207181336	
RAP2C	-0.009379315	10.07893549	10.0135576	
S100G	0.010003823	4.583262907	4.615223835	
MGL1	-0.189584701	5.838883914	5.118641237	
4932432N11RIK	0.00202008	4.690452554	4.697038797	
PLEK	-0.428087666	11.16570471	8.296301476	
LARGE	0.395230228	6.986517459	9.191488251	
TMEM168	-0.150067173	6.174724351	5.56372616	
COPS5	-0.053051228	11.90344823	11.4733201	
MATK	0.816596573	5.217242566	9.196460971	
TM4SF11	-0.013166597	4.569273464	4.527671357	
OLFR742	-0.01030839	4.753394847	4.719480595	
D330038K10RIK	-0.0270079	4.847606667	4.757515986	
FKBP9	0.513522656	8.193815103	11.70120509	
CTNNBL1	0.037957376	7.259060079	7.452847501	
SORL1	-0.332482017	5.85612253	4.648692764	
TOP3A	-0.184259995	5.631955447	4.955487202	
GTF3C2	-0.090485767	9.613268916	9.028236309	
AMD1	-0.106366108	5.230031012	4.857595356	
CYLD	0.068127228	10.76351237	11.28446474	
SPRR2E	-0.023191628	4.583622245	4.510369151	
1500016H10RIK	0.014882321	9.250160894	9.346179767	
OLFR166	0.110150799	4.881417423	5.269507617	
FTSJ	-0.070033083	6.262540227	5.96532314	
9430023B20RIK	0.024922539	4.596573869	4.67684371	
LEPREL1	0.738839228	4.577835433	7.64632924	
GPR1	0.076977088	4.873267242	5.140897463	
SFRS16	-0.061266172	8.577809576	8.220750754	
RECQL	-0.119447992	5.128832495	4.720499852	
SLC17A3	-0.008292764	4.664830309	4.638035971	
CD4	-0.00959703	4.668804349	4.637783513	
CAI	-0.099340295	10.11979315	9.445754078	
ARID4B	-0.030135447	5.472970648	5.359628593	
ZFP28	0.010350981	4.640649057	4.674136305	
TUBG2	0.141369928	4.674327929	5.156588577	
TNFAIP8L2	-0.366246575	9.629421778	7.468246536	
MLYCD	0.209436642	8.93007215	10.3268386	
PGM3	0.07076571	5.497260134	5.774131954	
WBP2	-0.006894832	13.97608801	13.9094061	
DDX24	-0.032219193	9.891908381	9.673223595	
OLFR807	-0.033088237	4.630176249	4.524964848	
ASCC1	0.184445775	8.283661249	9.414753572	
CAR13	0.1220325	9.512806349	10.35335549	
V1RA2	0.051305171	4.896645921	5.074275957	
BFSP1	0.065524449	4.851427801	5.077315414	
NUDC	-0.060993283	10.69495261	10.25180933	
ZRANB1	-0.012626253	7.758996289	7.691299851	
4933404M02RIK	0.10728079	4.944985063	5.327490136	
SMFN	-0.107125825	7.202112701	6.685984167	
GBX2	-0.517417238	6.5546624	4.576213704	
THBD	-0.501275047	7.597842012	5.364804352	
OLFR732	-0.012594896	4.886852932	4.844288899	
ATP5C1	0.058428525	13.28759413	13.83719511	
1700011F14RIK	0.008845036	4.63764884	4.666230691	
BC006583	0.011498683	4.59094351	4.627760845	
KIAA0298-HP	0.037432441	4.656171742	4.778825442	
ARBP	0.08474911	7.288822613	7.730425464	
2610204L23RIK	-0.035775073	8.340025819	8.135513133	
LOC380712	0.014020173	5.13671713	5.186976968	
MYBL2	-0.329010998	6.952430838	5.532666076	
15-Sep	0.018431785	8.652700827	8.764084974	
3830408P04RIK	-0.040007131	9.982219944	9.708934125	
4931407K02RIK	-0.010203295	4.741034747	4.70755214	
OLFR1289	-0.023280531	4.794674929	4.717764896	
LMX1A	0.009225398	4.668756257	4.6987707	
SLAMF1	-0.015042949	4.623926132	4.57585932	
A630077B13RIK	-0.125022592	5.227407166	4.792648339	
RLN1	0.024183435	4.659612701	4.738547655	
ADCY6	0.011312165	4.589612554	4.62581986	
D2BWG0891E	0.200693839	8.525679566	9.799637714	
PAK7	0.084943878	4.597811746	4.877259311	
PANK1	0.068055353	6.837284471	7.168026772	
GDF10	0.068148374	4.557403423	4.77833005	
LOC193034	0.065806641	4.577259984	4.79134737	
TENC1	-0.006706104	4.923555399	4.900675887	
GEMIN7	0.015463181	8.432654897	8.523632156	
CD96	-0.018740565	4.672471261	4.612039453	
TBX15	-0.01146616	4.601366247	4.564861581	
KDELC1	-0.111721345	8.633104152	7.989047401	
1500003O03RIK	0.158433038	8.286156796	9.249127154	
4930583H14RIK	-0.429400838	6.520713644	4.839512789	
TOB1	0.256837345	6.729018709	8.042160207	
CDC42EP1	0.109696429	5.829437963	6.290760391	
TNKS	-0.215187964	5.862690144	5.048934487	
REPS1	-0.049343924	7.141291206	6.900834013	
PPP2R5D	-0.093589565	7.126318018	6.678071833	
ATPIF1	-0.02192017	14.14655994	13.93309234	
NOL7	-0.111511582	6.775583122	6.270856105	
DPYSL3	-0.051416045	4.729269315	4.563341341	
TBC1D10A	0.210265903	6.253170588	7.235870776	
WBSCR22	-0.03654921	9.303965039	9.070969035	
KIR3DL1	0.004875649	4.60454214	4.620163564	
4921524J17RIK	-0.026053692	4.703664355	4.619304113	
TLE2	0.030957813	4.849920735	4.955333419	
MAST1	-0.014219485	4.723397098	4.676972969	
LOC333473	-0.017421209	4.659602319	4.603553802	
DNMT3L	-1.088855421	10.1006817	4.743377386	
4931403F16RIK	0.016544699	4.661910142	4.71579558	
TCP11L1	-0.049290343	4.918368366	4.752832293	
D030051D21	-0.077774565	8.082714822	7.657993917	
PSX1	0.036221413	4.525335288	4.640644371	
OLFR993	-0.018796973	4.862279374	4.799209872	
NDRG1	0.219796833	7.462057735	8.691731098	
B930041F14RIK	0.663599489	6.851717417	10.85916496	
STK31	-0.001142938	4.564345968	4.560723495	
SH3GLB1	0.070655082	7.850027266	8.244549034	
CLCNKA	0.089067654	4.572504508	4.864330093	
PBP2	0.059188594	4.551723634	4.742766877	
ITM1	-0.023920572	8.342473622	8.205127402	
IL10RB	0.00030068	10.91570627	10.9179836	
SCN5A	-0.003337642	4.649305284	4.638538547	
SDAD1	-0.008893092	7.440267739	7.394483891	
SERPINB6A	0.028252987	13.4588591	13.72522589	
B230315F11RIK	0.014907764	4.653371462	4.701809189	
4933400A11RIK	-0.010031214	4.64902657	4.616744218	
GJB6	-0.054009494	4.745007075	4.57028698	
ACOT8	0.090623801	8.200212523	8.73248471	
LOC381399	-0.001148087	4.57433457	4.57068784	
ATP13A1	0.032096787	9.553556576	9.768709104	
GUCY1B3	-0.019629076	4.806600716	4.74151063	
TAP1	-0.014595975	6.022028712	5.96130939	
PRKR	-0.115474844	10.68266744	9.860170798	
MMP12	-0.368266675	10.51863477	8.146667237	
1700029G01RIK	-0.032127447	5.07632771	4.964311898	
OGFR	-0.105847431	10.56612492	9.817958643	
SPNB4	-0.027192454	4.757101544	4.668090925	
1110034B05RIK	-0.084759939	4.895995508	4.6160664	
BCL9L	-0.010303012	5.410514064	5.371941341	
TAS2R136	0.022468028	4.695575985	4.769432594	
TMEM2	0.085901225	7.227840506	7.671885932	
EPN1	0.100352917	6.373347984	6.83317677	
RASGRF2	-0.055218248	4.732998106	4.554893	
ELOVL4	-0.038127511	4.737966937	4.614131348	
PMS1	-0.027378898	4.905733181	4.81332396	
OLFR508	-0.071508208	4.796058427	4.563650037	
MS4A3	-0.252169029	5.581452801	4.684768928	
MUC20	0.009865856	4.685166275	4.71738416	
SLC19A2	-0.100876206	9.189854144	8.568555754	
D10UCLA1	-0.14071064	11.15383948	10.1164089	
HMBS	-0.01370072	5.80359907	5.748650881	
ANAPC10	-0.047394094	4.811833845	4.65600497	
EBPL	-0.129828849	9.613322344	8.785137943	
B230105J10	-0.231563393	5.765222326	4.908822836	
NUP43	-0.22902103	10.41215562	8.882325551	
SLC5A5	0.006399079	4.546775271	4.567031756	
PTK7	0.051181059	5.01822622	5.199809488	
OLFR435	-0.002264372	4.727415251	4.719985505	
A930014K01RIK	0.241053171	5.232555131	6.185940539	
2410012H02RIK	-0.002242225	4.681570717	4.674284779	
RNF41	0.086105092	6.843415245	7.264903917	
ST5	0.986568643	6.132893599	12.16193844	
RGS9	-0.034860519	4.693173169	4.580890218	
OLFR110	-0.063442719	4.965652738	4.751588942	
TPBG	-0.016488984	4.739872904	4.685894273	
OLFR733	0.02804899	4.679748912	4.771819499	
BC025872	-0.452117992	7.828757301	5.719888107	
1810046J19RIK	0.041145237	12.49519403	12.85697286	
1700010D01RIK	-0.027036708	4.654300347	4.567703376	
PASK	-0.057345957	4.841568147	4.652504702	
PEX12	0.051844197	4.62282207	4.792333087	
2310020H19RIK	-0.02254372	10.0705225	9.914227404	
1110002H13RIK	0.01622036	4.671287585	4.724216741	
TPD52L2	0.0549361	9.540720466	9.911413447	
2010316F05RIK	-0.000974009	10.26150462	10.25457234	
TBC1D4	-0.06310064	4.921668734	4.710616405	
ACCN4	0.006877084	4.86665618	4.889957869	
DDX4	0.018254993	4.717050249	4.777243514	
4930550C14RIK	0.513374381	4.854958109	6.934167578	
WSB1	-0.237346739	11.26210266	9.552169715	
APEH	0.024103836	11.61890652	11.81482867	
DLL4	-0.016805918	4.830498859	4.774439164	
CCDC5	-0.04471734	9.257534168	8.974686651	
KPNA1	-0.098933596	10.44346416	9.750639092	
4732456N10RIK	0.025115232	4.628087748	4.709537042	
GOLGA5	0.074663979	9.139859522	9.625860939	
ABLIM2	0.017923243	4.650874892	4.709140196	
4930542N07RIK	-0.016255814	4.634679067	4.582638089	
LIAS	0.097673908	8.488305519	9.083584697	
RTN2	-0.014638639	5.193194941	5.140666466	
MCM2	-0.406765116	10.12712412	7.636562857	
9930023K05RIK	0.035323981	4.763965601	4.88229755	
D19ERTD386E	-0.009395517	5.414303841	5.37909297	
AA415817	-0.079178863	5.753860136	5.446048485	
2810022L20RIK	-0.236358661	5.722990581	4.85665076	
ATBF1	-0.559711205	9.19188099	6.232905348	
SENP2	-0.019610222	11.52881645	11.37303314	
MGC58818	0.031352063	4.752755894	4.857390997	
D8ERTD319E	0.0656369	7.286382069	7.626005686	
CHST9	0.001901341	4.567342404	4.573378902	
TXNDC5	-0.149175686	11.02688082	9.942678997	
OLFR1330	0.04176053	4.64183262	4.778453253	
ATF7	-0.05085501	5.145030795	4.966481346	
PPIA	-0.003515099	14.82836459	14.79225521	
TAC1	-0.022454494	4.773774694	4.699895169	
4931428L18RIK	0.06336284	4.618553237	4.826368444	
4921520P21RIK	-0.018238939	4.670577077	4.611776433	
OLFR1048	-0.101445025	5.002408433	4.662060485	
LSM6	-0.091837554	9.074871551	8.514578864	
1810014F10RIK	0.053146916	8.62249748	8.946437018	
SPOCK2	-0.000543006	5.052959966	5.051054713	
ZDHHC24	0.072599133	5.763046809	6.060991091	
AW491445	-0.032551771	10.91426593	10.67053984	
BMPR1A	-0.073604019	4.929157614	4.683489686	
TCF1	0.21445811	4.779006611	5.54653124	
GIT2	-0.044488938	7.472490758	7.245271755	
D030010E02RIK	-0.004566985	4.626456925	4.611802997	
IL1F6	0.001866062	4.690722492	4.696806603	
4632409L22RIK	0.016220272	4.838410492	4.893228931	
CYP2C29	0.013736093	4.616185975	4.660442865	
SIGLECE	-0.010300005	4.733248443	4.699505002	
RNF134	-0.059473087	8.488994348	8.145758498	
LAF4L	0.258218028	6.261986169	7.491298779	
NRF1	-0.045803681	9.385474361	9.091865841	
USP43	-0.02340446	4.759866701	4.683110695	
YME1L1	-0.018958943	6.816394639	6.727273546	
GZMC	-0.010092503	4.625388052	4.593073938	
2700008N14RIK	0.038935713	7.629257602	7.838234529	
A230102I05RIK	0.014030926	5.21486279	5.265925077	
PSCD4	0.105712155	8.813241482	9.484032086	
