!Series_platform_id				
GENE	rna	wildsubtype~osteoclast~MsubCSF~RANKL~24H~rep1	wildsubtype~osteoclast~MsubCSF~RANKL~ILsub3~24H~rep1	@OC_down
ATP6V1G3	0	0	0	
SLC5A4A	0	0	0	
RELB	-0.739637246	13.177259	7.4906175	
VMN2R34	0	0	0	
ADAMTSL5	0.795283376	0.18536	1.057095333	
LAPTM5	0.946133666	351.943822	679.01767	
ZFP97	-0.153718252	2.619911	2.254049	
TAAR9	0	0	0	
MIR1958	0	0	0	
COL6A5	0	0	0.000948	
1190002F15RIK	0.286667395	3.0227595	3.9070395	
DNAJB11	0.635553158	21.77752733	34.385647	
RIT1	0.402438206	3.648764667	5.144457333	
CD151	0.471011153	10.37073533	14.76075567	
GALNT15	-0.120690142	0.113636	0.024264	
PPM1L	-2.076305394	5.750713	0.600735	
RARA	1.263379196	1.3938145	4.746528	
USP8	-0.235393373	15.6456445	13.1396985	
ZFP335	-0.371276862	12.518953	9.451475	
AKAP7	1.216166042	1.172332	4.046946	
IQCF4	-0.073711941	0.052421	0	
GALNTL6	0	0	0.005299	
SRD5A1	-1.094500878	5.587825	2.085066	
PTK2B	0.739570077	8.343338333	14.60036833	
GM10033	-0.067106322	0.7580785	0.678175	
GABRP	0	0	0	
OGDH	-0.12437557	9.9873426	9.0797994	
SLC6A8	-0.178219206	15.139399	13.26389167	
AP1AR	-0.275546505	22.647138	18.535783	
PRKAR1B	0.157743592	0.739092	0.9400285	
GM7120	-1.144689826	8.987502	3.5172165	
COL9A1	0	0	0	
EFCAB4A	0.989985464	1.662663	4.288488	
PTCHD2	0.001737938	0.003009	0.004218	
CHDH	0.078863429	0.049568333	0.108539	
G3BP2	-0.171141704	9.0337382	7.9113598	
CHCHD10	-1.164809328	29.440849	12.577325	
ADARB1	-0.148700355	0.15225525	0.0394065	
FBXO44	-0.03342909	0.0666894	0.042257	
VPS13C	1.00550847	3.6321	8.29964	
CD248	0	0	0	
C87977	0	0	0	
OLFR1047	0	0	0	
AIFM2	-0.455623376	5.09146675	3.44186725	
GM410	-0.024161677	0.020283	0.003338	
OLFR493	0	0	0	
SCN8A	0	0	0	
BRAP	-0.33134042	5.545589	4.202419	
IIGP1	0.138288485	0.0591045	0.165649	
HMGB1	-0.507095499	268.618708	188.713863	
RNF146	-0.167992534	1.1179414	0.885138	
RBL1	-0.231427477	10.018753	8.385682	
LEPREL4	-0.023253933	0.016249	0	
PIK3R6	0.810363103	0.83137525	2.21159625	
MIR741	0	0	0	
VCL	0.194888014	11.623128	13.448878	
CDK2	-0.099731851	14.188969	13.1744435	
RAB27B	0.008949233	0.00865175	0.014928	
MUP12	0	0	0	
PEBP4	0	0	0	
MIR706	0	0	0	
TUFT1	-0.216801832	1.8191665	1.4258105	
TARSL2	-0.731042179	6.325697	3.413502	
MIR6400	0	0	0	
HERC3	-0.527821101	8.961863	5.909563	
2610507I01RIK	-0.148433375	0.339619	0.208644	
FGD1	-0.066961994	0.054354	0.006535	
EXOC3L	-0.050784376	0.15292	0.113042	
APP	0.292345019	41.5471154	51.104441	
TNFAIP1	0.445591172	10.5670385	14.7528265	
OLFR488	0	0	0	
1700047A11RIK	0	0	0	
HDGF	-0.953576912	288.086716	148.27012	
RGS10	0.20853669	84.019144	97.240944	
AREG	0	0	0.313703	
SAMD8	0.220907625	5.340888	6.390093	
MIR6967-1	0	0	0	
GM4788	-0.002352249	0.048414667	0.046706667	
C1QTNF3	0	0	0	
GPI1	0.217971388	230.370399	268.106211	
GBP7	0.124048254	2.1913085	2.4778515	
ISCA1	-0.580850626	30.569442	20.106365	
CHST13	0.122229026	0.149542	0.251179	
CYP2C50	0	0	0	
ERLIN2	-0.103761732	18.646752	17.283333	
ARHGEF28	-0.031687376	0.022207	0	
KLRK1	0.075164744	0.018112333	0.072562333	
RLTPR	0.059472905	0.175907	0.225395	
MIR8100	0	0	0	
SMYD2	-0.144320743	40.804704	36.825117	
OLFR714	0	0	0	
OTOA	0	0	0	
DENND3	0.589970545	0.126722	0.69596	
MAGEE1	0.784183906	1.374309	3.08884	
YIPF7	-0.005804912	0.10694	0.102495	
CTSS	1.157497742	197.267034	441.2746525	
NPTN	0.271755769	44.695715	54.167349	
TBCA	0.241145628	173.716979	205.503387	
PFKL	-0.262019102	24.95047	20.640616	
FEZ2	0.94014806	2.935316	6.55078975	
MINK1	-0.603618787	9.29928175	5.777969	
4933412E24RIK	0	0	0	
SUN3	0	0	0.009671667	
OLFR221	0	0	0	
MIRLET7D	0	0	0	
FFAR2	0.042133297	0.0213256	0.0515928	
PRRX1	-0.024481373	0.042036333	0.024503	
ZFP451	-0.516998021	2.960255	1.767523	
BRF2	-0.302396665	6.756538	5.289809	
E430016F16RIK	0	0	0	
PPP1R12A	-0.653287072	19.189723	11.837231	
MIR181C	0	0	0	
ARPC3	0.304180544	367.45496	453.937645	
GM3750	0	0	0	
B830017H08RIK	0	0	0	
1700065I16RIK	0	0	0	
TAS2R138	0	0	0	
ZFP385B	0	0	0	
WDR96	-0.02349433	0.121763	0.103643	
MED13	-0.860142316	12.549926	6.46463	
SMU1	-0.350907159	34.796719	27.067882	
OLFR916	0	0	0	
NT5DC1	-0.046797091	7.599038	7.324584	
KRTAP9-3	0	0	0	
HNF4AOS	0	0	0	
PHTF1OS	-0.601807461	4.659651	2.729302	
FGFR1OP	-0.098233727	3.2891265	3.006799	
ACTR2	0.035960863	229.299066	235.111682	
SPEF1	0.778750224	1.703087	3.637535	
OLFR1463	0	0	0	
SULT5A1	0	0	0	
LGSN	-0.022761238	0.015902	0	
MATR3	-0.567081952	49.008924	32.755056	
ARHGEF9	0.000181759	0.007987	0.008114	
GM13212	-0.049779181	5.491898	5.27172	
DNAJB6	-0.235175512	15.2639085	12.817518	
SCAF4	-0.308681611	16.607759	13.216139	
DPY30	-0.143144275	17.220094	15.49908625	
IKZF1	0.564262071	1.9077215	3.299447167	
CTS3	0	0	0	
MIR6901	0	0	0	
NDE1	-0.316210492	13.08153125	10.30995925	
MYO7A	0.183680599	5.59069525	6.48556525	
LURAP1	-0.013213486	0.287913	0.276171	
BCAT2	-0.108304722	14.818234	13.67422	
NOL6	-0.648880098	32.385047	20.292155	
OLFR206	0	0	0	
SLC1A6	0	0	0	
SNORD116L1	0	0	0	
PRELID2	0.33809565	3.691077	4.929929	
UNC13B	-0.167397415	0.3175245	0.1731865	
1700092C02RIK	0	0	0	
TAF6L	-0.200040913	4.1354045	3.4705025	
SURF4	0.457678578	92.766371	127.772192	
PHF5A	-0.324843415	43.91678	34.860885	
WDFY1	-0.51875626	3.224686	1.948718	
LY6K	0	0	0	
DHFR	-0.56272345	9.808203	6.317401	
HNRNPD	-0.236385055	6.4008035	5.2823175	
1700056E22RIK	0.17686619	0.035693	0.170774	
DIMT1	-0.371008225	8.225837	6.133804	
CENPP	-0.632022163	8.477923	5.115832	
MIR6383	0	0	0	
COPS2	-0.367419847	9.90918775	7.45644875	
MRPL53	-0.207608813	49.168987	42.444905	
GHITM	-0.151412912	35.0455075	31.4542305	
MICALCL	0.095091961	0.356763	0.449204	
GCNT3	0	0	0	
MIR8096	0	0	0	
BAIAP3	0.040879572	0.00606	0.034975	
RIC3	-0.015526631	0.021156	0.010225	
UBAC1	-0.475712733	12.662607	8.824937	
MYLIP	-0.046340792	2.63935	2.524308	
DPP9	0.523707619	26.028818	37.857849	
CDNF	-0.073204238	0.221858	0.161406	
SLC22A26	0	0	0	
SP6	-0.024305493	0.01699	0	
DERL2	0.328754938	2.963383	3.97772775	
LMNA	-0.831289887	246.6388747	138.179615	
D3ERTD751E	-0.120984006	0.4595705	0.342163	
LRRC2	-0.021498688	0.02263	0.007504	
INPP4B	-0.058634343	0.805553	0.7336425	
SPEER5-PS1	0	0	0	
1810007C17RIK	0	0	0	
ZC3H12A	0.650751981	5.347977	8.966237	
FAM105A	0.541281589	5.435592333	8.365490333	
ACO2	-0.199780695	135.153369	117.546411	
TMEM82	-0.272431193	0.637321	0.355576	
HSD3B5	0	0	0	
TMEM38B	0.094076721	6.533351	7.040964	
RHOX10	0	0	0	
GPN2	0.030411473	7.387569	7.5662525	
2610017I09RIK	0	0	0	
KCTD19	0.006419186	0.004854	0.009335	
MIR222	0	0	0	
MIR7578	0	0	0	
CHCHD2	-0.222046664	229.170038	196.335892	
PNOC	-0.002560674	0.0017765	0	
KPNB1	-0.385705277	127.14755	97.084741	
TMEM130	0	0	0.000512	
HOTAIR	0	0	0	
APOO	-0.311844674	5.09121725	3.90715175	
KLF12	0	0	0	
TRADD	0.018748366	20.946175	21.233235	
HIPK2	-0.884617979	2.3079675	0.7916975	
CDC20	-0.828866968	76.371311	42.55782	
PLEKHB2	0.35963646	17.4114655	22.623798	
FAIM2	-0.001863378	0.0052205	0.003923	
RASGRF2	0.068887866	0.124013	0.178986	
VIPR1	-0.048821649	0.045819	0.01102	
SCGB2B3	0	0	0	
4933402J10RIK	0	0	0	
DLG5	-0.030569644	0.0265975	0.0050735	
SMARCA4	-0.51699197	18.443881	12.58791633	
9630028B13RIK	0	0	0.002696	
1700109G14RIK	0	0	0	
COPZ1	0.083206645	83.899758	88.940262	
A230072C01RIK	-0.123683602	0.3949015	0.280298	
CPEB3	0.083687476	0.0988126	0.1644372	
ZFP827	-0.516511222	0.4504915	0.013981	
CD1D2	0	0	0.1827025	
TNIK	-0.018510534	0.01483975	0.001902	
MIR290	0	0	0	
TCP10A	0.001879807	0.0031965	0.0045045	
OLFR616	0	0	0	
ACIN1	-0.319754826	10.14342033	7.9281755	
GM3646	0	0	0	
OTX2	0	0	0	
CCL7	7.374190266	13.51195	2406.566197	
LETMD1	-0.165269448	13.319521	11.769604	
GM6040	0	0	0	
DDRGK1	-0.163889382	40.625926	36.155943	
A430005L14RIK	-0.189110123	14.1825825	12.3173505	
LRRC18	-0.008136894	0.005656	0	
DNAJC12	-0.278932252	4.0363195	3.1509385	
GPHA2	0	0	0	
LY6E	0.063386038	39.2344895	41.04163467	
YARS2	-0.565199722	11.040784	7.1379065	
PHF11A	0.954140791	1.66733	4.167753	
GM10677	0.009319772	0.156478	0.163973	
FAM129C	-0.290486686	1.823503	1.30857	
DPPA4	-0.014605957	0.0101755	0	
EPS15	0.322400495	10.968378	13.965372	
SOCS5	-0.492154031	6.893918	4.612282	
ISY1	-0.438897089	48.485064	35.50505	
DAXX	0.093794989	8.553087	9.194803	
AGBL4	0	0	0	
SLC39A10	-0.033857412	14.468378	14.10959	
GM16325	-0.026210951	0.027216	0.008722	
2610037D02RIK	0.052682632	0.007858	0.045342	
GM3363	0	0	0	
OLFR460	0	0	0	
MROH7	0	0	0.006251	
SLC7A15	0.101691951	0.005288	0.078705333	
MIRLET7F-1	0	0	0	
OLFR586	0	0	0	
PTPRT	-0.001593535	0.00163575	0.00053	
ZFP786	0.007688219	0.102691	0.108583	
DFNB59	0	0	0	
EXTL3	0.074425317	15.767349	16.655038	
ARAP1	0.355599106	10.388763	13.57211375	
IGSF1	0	0	0	
SIX6	0	0	0	
MRPS9	-0.476933667	26.106656	18.476217	
TMEM8C	0	0	0	
CARF	-0.035829231	0.20605825	0.17647475	
FANCC	-0.371824824	1.310627	0.785662667	
PABPC1L	0.127836477	0.124853	0.229075	
DMRT1	0	0	0	
PFDN2	-0.403444993	98.679221	74.362551	
OLFR684	0	0	0	
D16ERTD472E	0.124221628	0.46238525	0.59388225	
ASB17OS	0	0	0	
FEM1A	-0.595100287	14.896243	9.523288	
GM10220	0	0	0	
MIRLET7E	0	0	0	
RNF40	-0.325012768	23.375094	18.458426	
TOMM6	-0.007311701	27.579913	27.435434	
PIN1	-0.089444882	14.994581	14.033056	
4930524B15RIK	-0.043740649	0.030783	0	
CD209F	-0.021496784	0.015012	0	
TAS2R144	0	0	0	
IL1BOS	0	0	0.043599	
MANEAL	0	0	0.010271	
4930451C15RIK	0	0	0	
KLK13	0	0	0	
TREM2	0.807093959	81.82059	143.909818	
TCP11L1	0.689835247	1.564596	3.136948	
MCCC1	0.192351872	5.849905	6.826872	
EPHB1	0	0	0	
MASP2	0.020342199	0.18102	0.1977905	
BIN2	0.388243395	23.368866	30.893944	
LRRK2	0.036294972	2.408109	2.494937	
PSMB8	0.102846307	76.078809	81.774167	
EBF1	0.009135145	0.00140275	0.00776375	
AKR1C13	-0.232933974	20.089687	16.945271	
TSPAN33	-0.188680792	0.353596	0.1876555	
ZFP516	0.63396959	2.3197005	4.1516075	
VMN1R183	0	0	0	
ALDOA	-0.005966738	346.3220387	344.888541	
ELMOD1	0	0	0	
ATG4A	-0.284521214	11.254078	9.06077	
STARD7	-0.851103651	45.402091	24.723486	
VMN1R176	0	0	0	
A230070E04RIK	0	0	0	
ZSCAN10	0	0	0	
PLSCR1	0.21531716	3.874561	4.659166	
HIST2H2BB	0	0	0.091349	
OLFR355	0	0	0	
RABGAP1	-0.033221015	3.2630995	3.1660545	
DCLRE1A	-0.395101819	5.189303	3.706567	
ZC4H2	-0.159122179	0.810597333	0.621516333	
OLFR307	0	0	0	
CDK16	-0.234534835	24.707141	20.850016	
RDH7	0	0	0	
RTKN	0.063369153	0.117495333	0.167674333	
PPIL4	-0.398532419	16.951195	12.618308	
PIM2	-0.20858628	1.999268	1.595521	
PPP1R26	-0.232789645	0.273587	0.083807	
TRIM41	-0.087759398	11.372508	10.64232	
TJAP1	-0.077391346	2.786787	2.5890025	
NOTUM	0.03925571	0.01488	0.042874	
KRTAP9-5	0	0	0	
GABPB2	-0.593697013	5.6233715	3.3889285	
UMOD	0	0	0	
ZSCAN29	-0.108342581	2.361412	2.1182245	
4931406C07RIK	0.078901496	2.427557	2.620232	
PIK3R3	0.049404153	0.336321	0.382875	
KCTD5	-0.391415155	22.616919	17.0051	
HSPA9	-0.588583424	222.079402	147.346808	
ZFP664	-0.382144441	12.959825	9.711321	
C030007H22RIK	0	0	0	
NCALD	-0.023121901	0.016156	0	
TTC19	-0.186863273	2.9226735	2.4461225	
TESK1	-0.129538275	32.405675	29.536928	
TEX14	-0.034223881	0.050163	0.025544	
KLK9	-1.090027606	2.172961	0.490506	
GM6498	0.156679301	0.092449	0.217773	
PDIA6	1.116794797	114.104558	248.621078	
VMN1R135	0	0	0	
CFH	0.638311123	5.535883	9.173141	
TYW5	-0.070100054	1.02933	0.9330828	
BNIP3L	0.001148667	16.708455	16.72256	
CLPTM1	-0.075675725	46.510642	44.082733	
OLFR1029	0	0	0	
HPCA	0.003454926	0.00807375	0.01049075	
DEFB48	0	0	0	
CUX1	-0.21992226	6.042909571	5.047124571	
ADIG	0	0	0	
PTK2	0.186952165	5.019582	5.852429	
SLC22A23	-0.101835875	0.151209	0.07275	
MIR487B	0	0	0	
OLFR1440	0	0	0	
GM17384	0	0	0.011609	
RPIA	0.042512641	16.39535	16.915575	
CHMP4C	-0.048523974	0.051129	0.016363	
MYO1B	-1.231585301	1.914135333	0.240982333	
CISD3	-0.288784605	24.802419	20.121638	
SLC17A1	0	0	0	
TMEM39A	-0.128622562	2.301435	2.019837	
BMP15	0	0	0	
MYOF	-0.038238842	37.01555	36.0211785	
MYOCD	0	0	0	
1110057K04RIK	-0.07183975	5.974802333	5.635994	
APBB2	-0.022733392	1.408059	1.3704112	
SDS	0	0	0.027101	
OLFR1368	0	0	0	
ACSL4	0.352121329	7.032116333	9.252483333	
ZFP711	0	0	0	
CYP51	0.822119772	4.489121	8.704776	
PITPNM2OS1	0	0	0	
ARMC9	-0.170309851	0.7379985	0.5444755	
PLEK2	-0.467689271	0.622844	0.173514	
CCDC71L	1.034080499	14.259958	30.249465	
DLG2	0.00059136	0.004105333	0.004517	
LYRM1	0.334447633	0.5788735	0.990793	
ACTL6A	-0.398238296	49.982553	37.68476	
GPX2-PS1	-0.001993513	0.033426	0.031999	
ELDR	-0.018500997	0.2126318	0.1971804	
GM16796	-0.088882433	0.063546	0	
DNAH1	0.002821815	0.002121	0.004083	
BTNL6	0	0	0	
DIEXF	-0.542977492	6.317135	4.022137	
MOGS	-0.73802861	62.029011	36.789552	
1700003M07RIK	-0.007888462	0.0188075	0.013252	
WTAP	-0.275662168	14.20730433	11.56231433	
TMED4	0.007236087	30.554972	30.713639	
SUCLA2	-0.119560589	32.316724	29.666977	
OLFR1284	0	0	0	
GM11651	0	0	0	
PCDHGB6	-0.099076576	0.466846	0.369492	
EDA	-0.000913097	0.000633111	0	
RANBP17	-0.017044622	0.0364485	0.0242755	
PDE7B	0.964444359	0.205858	1.353005	
CDC7	-0.142274301	1.9420265	1.66573975	
FOXN3	-0.423017452	1.870975	1.141354	
FBXO30	-0.148190908	2.181568	1.8709875	
4933413G19RIK	-0.043492897	0.030606	0	
SPINK12	0	0	0	
TSTD2	-0.203499907	6.774357	5.751572	
OLFR23	0	0	0	
9330182O14RIK	0	0	0	
ALG12	0.404672729	2.607252	3.775239	
ZFP316	-0.139732744	1.000927	0.816216	
GM6297	-0.133180773	0.096709	0	
GLO1	-0.196126958	15.9844475	13.8255675	
TRMT112	-0.41787788	32.410868	24.008865	
LRRC59	0.040718457	164.8391	169.586402	
COPE	0.235883603	81.787346	96.492678	
PROP1	-0.006934214	0.004818	0	
TRPV3	0	0	0	
SLIT3	0	0	0.005402	
ACP5	-3.799556745	143.9889337	9.412483	
GM8693	0	0	0	
SLC15A2	-0.073381157	0.428284	0.3574525	
DMRTC1C2	0	0	0	
MIR212	0	0	0	
PEX16	-0.826170181	12.691822	6.7225235	
PPP2R3A	-1.575250578	4.4143895	0.816987	
ZCCHC8	-0.136873343	13.405464	12.101598	
GATA2	-0.989952497	2.154232	0.588138	
ALG1	-0.090482768	18.723929	17.52488	
KHDC1B	0	0	0	
GJA8	-0.000214127	0.003973	0.003824	
PRKCZ	-0.006927192	0.049153	0.0441275	
FAM76A	0.204040326	6.2833805	7.3898705	
TMEM53	0.884650155	0.016671833	0.877098333	
FAM21	0.317943677	24.420583	30.688092	
OLFR935	0	0	0	
TCAP	-0.144855999	0.18309	0.070069	
TMEM241	-0.127545198	0.38384125	0.26675125	
GM11468	0	0	0	
SCNN1B	0	0	0	
C330013F16RIK	0	0	0	
RALGAPB	-0.584491776	6.303854	3.870825	
FUT4-PS1	0	0	0	
NXF2	-0.030906626	0.042525667	0.020429333	
SSH2	0.283470996	1.7953965	2.402332	
ZFP879	-0.009322805	0.006483	0	
MIR700	0	0	0	
CLDN11	0	0	0	
NEURL3	0.343973268	21.821627	27.96629	
AP2A1	0.090108947	17.6821565	18.886232	
2210420H20RIK	0	0	0	
PVRL3	-0.254939123	1.033222667	0.703886333	
FYN	0.398655	4.362085667	6.068721333	
MEOX1	0	0	0	
GTPBP8	0.434918096	3.0677085	4.498867	
CLEC2H	0	0	0	
FJX1	-0.116946742	0.097083	0.011661	
AGRP	0	0	0	
ELL3	-0.05237047	0.073592	0.035319	
MIR599	0	0	0	
VMN1R191	0	0	0	
NUP133	-0.576516096	14.335997	9.284031	
SESTD1	-0.845219967	17.505708	9.300757	
CCDC7	0	0	0	
MIR3086	0	0	0	
GM5039	0	0	0	
CSNK1G1	-0.06452	3.779295	3.570265	
2310001H17RIK	-0.306697875	0.799054667	0.454518	
A330069E16RIK	0.244523723	0.436111	0.701363	
SMEK1	-0.246273755	12.4608525	10.348456	
F13A1	0.408172057	8.04142	10.997995	
ARHGAP24	0.810260886	0.191107333	1.088640667	
BCOR	-0.18025963	1.1226922	0.8733696	
CYP2D22	0	0	0	
PDP1	0.386531503	0.55628	1.034442	
UMAD1	0.348355003	2.4324495	3.3698795	
SNURF	0	0	0	
HSPA2	-0.122162655	0.4108695	0.29632	
GM5549	0	0	0	
GID4	-0.397741155	6.664938	4.818039	
9230112J17RIK	0	0	0	
TLR7	1.563710743	1.249472	5.6497364	
RNPS1	-0.325632232	33.084907	26.19800467	
D17WSU92E	0.072644781	14.521282	15.32284467	
TCTEX1D2	-0.172443619	11.548016	10.134337	
ITIH3	0	0	0	
TSHR	-0.020072664	0.0235965	0.0094535	
ZCCHC2	0.107511229	5.310826	5.7990825	
S100A11	0.313140945	658.124781	817.902991	
HTR7	0.03758725	0.009363	0.036006	
DYNLL2	-0.165875008	18.998414	16.82634067	
LPHN1	-0.288645036	0.316488	0.07777	
SLIT2	-0.003647635	0.004889	0.0023515	
1810021B22RIK	-0.083304203	0.244541	0.174714	
FAM171A2	0.052084923	0.046539	0.085012	
OLFR1508	0.042793126	0.016268	0.046864	
2700070H01RIK	0	0	0	
GPR153	-0.022330645	0.037681	0.021743	
HIATL1	0.142990216	11.7844575	13.1164875	
LMCD1	-0.001006809	0.017741	0.017031	
1600023N17RIK	0.03932563	0.067695	0.097199	
GRK1	0.027483524	0.083725	0.104568	
PCYT1A	-0.068347478	6.767420667	6.408020667	
BAG1	-0.105317953	145.288919	134.990186	
MIR296	0	0	0	
LSM7	-0.477430692	132.052481	94.565694	
ZFP821	-0.064765485	0.5925205	0.52261	
MIR6341	0	0	0	
LCE1H	0	0	0	
PIEZO2	-0.014766192	0.012772	0.002459	
SCIN	-3.408518487	17.4492725	0.7374525	
LRRN3	-0.007997357	0.008199	0.002625667	
KREMEN1	0.101938975	5.260284	5.71863	
LRCH1	-0.370466499	3.8103975	2.720998	
PTPRC	0.14123809	17.33267733	19.21821433	
HES1	0.054136093	0.043434	0.083332	
KLRA1	0	0	0	
EGF	-0.021510498	0.147754	0.130768	
SAMD4	-0.004178975	0.005605333	0.002696667	
1700003I22RIK	0	0	0	
KLRA10	0	0	0	
2010106E10RIK	0	0	0	
TMEM176A	-0.238990968	0.5374625	0.30275	
BC018473	0.690017593	0.449156	1.337928	
EIF2AK3	-0.009464884	7.668798	7.612112	
MIR7093	0	0	0	
2310033P09RIK	-0.655318337	14.990703	9.153063	
COLEC10	0	0	0	
CTF1	-0.03386627	0.023752	0	
CATSPER3	-0.025999245	0.018184667	0	
MYL6B	-0.052346173	0.562642	0.50696	
LY6G5C	0	0	0	
ATP7A	0.706431279	1.842591	3.638434	
ISPD	-0.005758569	0.0912295	0.0868825	
OLFR153	0	0	0	
4930470H14RIK	0.027409799	2.111729	2.171414	
CCDC159	-0.032365185	0.1427795	0.117428	
RYR3	0	0	0.005103	
SNORA16A	-4.890199915	28.654927	0	
INVS	0.000415851	0.700846667	0.701337	
SEMA4F	0.042173686	0.0135505	0.0436165	
OLFR881	0	0	0	
FAM160B2	-0.261097798	7.549527	6.134176	
LGALS9	1.991685449	15.0503135	62.832313	
OBOX5	0	0	0	
ZFAT	-0.300459776	1.2422665	0.820706	
GM4312	0	0	0	
4930543E12RIK	0	0	0	
TSG101	0.126867252	36.985796	40.477453	
HRH3	0	0	0	
PDE10A	-0.033399195	0.0339905	0.010328	
A630010A05RIK	0	0	0	
TMEM132A	3.155687904	1.303651	19.529265	
MIR377	0	0	0	
GABPB1	-0.0917908	1.337140375	1.193072625	
RHOX3C	0	0	0	
OLFR53	0	0	0	
LNX2	-2.063796996	14.82991	2.786288	
GOLGA5	-0.25319423	7.8752575	6.4466665	
VWA2	0	0	0	
ADA	0.232292264	6.211254	7.4710595	
IL11	0.039401051	0.017153	0.045315	
GM14326	-0.26424528	4.2873675	3.402443	
NAPG	0.331600083	10.891921	13.964892	
2810474O19RIK	-0.733901533	8.434372667	4.672658667	
CTS8	-0.00274173	0.007575	0.005662	
EDAR	0	0	0	
FILIP1L	1.179791914	2.8896705	7.811819	
HALR1	0	0	0	
SULT1A1	0.230600191	0.02324	0.200591	
ZFP764	-0.27315035	1.6844225	1.221388	
WFDC6A	0	0	0	
OLFR402	0	0	0	
AVPR2	0.024394046	0.078439	0.096829	
SNORA30	0	0	0	
FLRT2	-0.477329788	13.827746	9.650857	
A230009B12RIK	-0.021417186	0.014956	0	
MYOG	0	0	0	
MIR7019	0	0	0	
CYP2C55	0	0	0	
ZFP691	-0.242786095	0.670358333	0.411639333	
ACPP	0.408466276	0.4778685	0.9615365	
VPS37B	0.701972516	11.592797	19.485048	
DOT1L	-1.664595665	59.065267	17.946552	
MIR669G	0	0	0	
JDP2	-3.585162009	154.1039117	11.92353867	
SUMO3	-0.273982046	8.070559667	6.501658167	
SYDE1	0.010913487	0.017471	0.025197	
ABCG3	-0.735099379	1.761642	0.65913	
RAD21L	0	0	0	
RIN3	-0.366429455	6.862371	5.0988405	
SLC15A4	0.137175933	18.001626	19.897043	
GM2447	0	0	0	
ARMC10	-0.183172767	16.487832	14.402651	
OAS1F	0	0	0	
SP110	0.977013758	5.4201535	11.6373455	
ENAH	0.050824142	0.0330975	0.07014075	
OGT	-0.338719646	13.579049	10.5282775	
TBK1	0.130969055	21.889701	24.064886	
NUDT6	-0.101786058	1.903141	1.705375	
NEUROG3	0	0	0	
HP1BP3	-0.400372658	4.804018286	3.397487286	
GTDC1	-0.393226529	4.399371	3.111215	
NREP	0.009613691	0.003559	0.01026875	
9330159F19RIK	0.010375234	0.006029	0.01329	
RUFY3	0.04725381	2.4086576	2.5221528	
OLFR192	0	0	0	
SYN3	-0.006283039	0.078677	0.0739895	
GM8898	-0.216734785	0.788583	0.539095	
4930579F01RIK	0	0	0	
TAS2R109	0	0	0	
DNAAF1	-0.139261895	1.060969	0.871326	
TUBGCP4	-0.329211841	4.02065425	2.99629625	
GNG2	0.930739776	1.205359333	3.203973333	
OLFR177	0	0	0	
CLEC7A	3.681742746	5.220248	78.822018	
1810011O10RIK	0.03076903	0.024052	0.046127	
FBXO6	0.284022182	3.1887092	4.1001084	
DAPP1	-0.115686514	7.344643	6.70163	
LCN12	-0.07528891	0.053572	0	
SPERT	0	0	0	
BARD1	-0.381509268	5.770981	4.197636	
RPRD1A	-0.355219815	5.425335	4.023009	
MIR7649	0	0	0	
IKBIP	0.258301513	2.0267215	2.62017	
TINF2	-0.20181682	12.752103	10.956834	
GRK6	-0.211301062	3.822855429	3.165779571	
DSP	0	0	0	
NFE2	0.310150726	0.3080295	0.621743667	
WIPF2	-0.336338178	5.22875	3.933476	
NIN	-0.335586735	2.597503667	1.850884167	
TRMT12	0.089046554	2.028021	2.220806	
PIWIL1	0.007983024	0.010318	0.015924	
MIR876	0	0	0	
LCT	-0.013143878	0.013533	0.004341	
MIR31	0	0	0	
CYP2R1	-0.03175521	0.126536667	0.102011333	
HC	0	0	0	
OLFR243	0	0	0	
BPI	0	0	0	
3110052M02RIK	-0.019776159	0.556015	0.534831	
LHX3	0	0	0	
PLEKHH1	-0.111356748	0.125077	0.041503	
TOP1	-0.11407791	41.474478	38.245257	
SMC2	-0.459409245	17.082744	12.1512905	
SH2D2A	-0.203033726	0.168283	0.014913	
TMC2	-0.003996598	0.007086	0.0043	
PDE4D	0.00519786	0.27889	0.283506	
PTAFR	0.062041353	15.955226	16.70027	
OLFR237-PS1	0	0	0	
RAB40B	-0.001809154	0.032537	0.031243	
BAZ1A	-0.409848091	31.912254	23.77314	
OLFR623	0	0	0	
LRWD1	-0.853988753	44.119082	23.962267	
CPVL	-0.000408361	0.007017	0.006732	
ALDH1A1	-0.02168316	0.029547	0.014189	
FUNDC1	0.220456686	12.763978	15.036443	
SP1	-0.593120022	15.60939	10.010493	
LYST	0.109833345	3.186764	3.517952	
OLFR1311	0	0	0	
TAF1A	-0.334561005	1.2118355	0.75404175	
1700001K19RIK	-0.099924894	0.108962	0.034752	
C230052I12RIK	-0.653294053	15.904362	9.748248	
MLKL	1.098091903	10.054761	22.665079	
MIR483	0	0	0	
RNF187	-0.447654433	85.931929	62.741445	
SNAP91	0	0	0	
DENR	0.080660315	36.991481	39.176065	
OLFR167	0	0	0	
UQCR10	-0.294515852	229.407953	186.862181	
MESDC2	-0.239133071	21.622009	18.166594	
2610002M06RIK	-0.11680886	3.912574	3.5305	
SLC35C2	0.356793309	7.5915328	10.002114	
C1S	0.024579911	0.0066365	0.023934	
FBXL12	-0.068041973	0.65548025	0.57921525	
