!Series_platform_id				
GENE	rna	wildsubtype~osteoclast~precursor~MsubCSF~24H~rep1	wildsubtype~osteoclast~MsubCSF~RANKL~24H~rep1	@OC_up
OLFR1389	0	0	0	
TBX3	0	0	0	
TMPRSS6	0	0	0	
DLEU7	0	0	0.048061	
PEX6	0.057736181	10.294291	10.755451	
KCNA2	-0.01875705	0.017632	0.004487	
1700086L19RIK	0	0	0.085666333	
MED14	0.017437335	5.0602905	5.1339835	
GAS7	2.042920836	2.41775025	13.08383	
PTRHD1	-0.183958009	1.958601	1.604411	
4921506M07RIK	0	0	0	
BOC	0.200077205	0.020262	0.172036	
4930564D02RIK	0	0	0	
BLVRA	-0.869713438	97.023055	52.64366	
CCDC117	0.059963166	6.853669	7.186972	
7530416G11RIK	0.049990836	0.002486	0.037832	
HOOK1	0.384657816	0.2616	0.647082	
ANKRD35	0.006806134	0.03705	0.041954	
ITGAE	0.075366499	0.0197625	0.074451	
FPGT	0.047129639	3.670369	3.825459	
PQLC2	-1.220098005	12.696413	4.879234	
PDPK1	0.220048742	3.386349333	4.109101	
GBP10	-0.001250446	0.015735	0.014855	
SLC1A1	0	0	0.023055	
MCL1	0.503188413	92.463887	131.470338	
GM4787	0.187202538	0.074694	0.223597	
DDX60	-0.311964818	1.019865	0.62709	
GPR21	0	0	0.025786	
1810019D21RIK	0.009731092	0.016222	0.023099667	
GLT6D1	0	0	0	
ELK4	0.556273017	2.337005	3.906951	
OLFR305	0	0	0	
OLFR1161	0	0	0	
SLC1A7	0	0	0	
PKDREJ	0	0	0.003923	
GM8096	0	0	0	
4933432K03RIK	0	0	0	
CRP	0	0	0	
D730001G18RIK	0	0	0	
DACT2	0	0	0	
KDR	-1.527760431	3.745984	0.64598	
4933427D06RIK	0	0	0.022314	
PARG	0.356881588	8.110058	10.666839	
TDRD3	0.289121696	2.079589	2.762938	
SLC37A4	0.281240311	1.615645	2.178634333	
IL33	0	0	0.017357	
CNPPD1	0.20240956	18.353414	21.268396	
PHOSPHO2	-0.033601905	6.743402	6.565134	
MUTYH	0.267369743	1.0906805	1.516367	
ZFP600	0.023300667	0.020457	0.037072	
CORO2B	-0.168145833	0.15915	0.031627	
GMPPA	0.10669428	20.737723	22.406271	
HOXC5	0	0	0	
HIST1H4C	-0.461845044	0.619542	0.17588	
SCMH1	-0.487294192	2.9191475	1.79577	
TFPT	0.294249495	4.890043	6.222647	
GNB1	-0.11566476	52.18816667	48.09038733	
GABARAP	-0.564555541	308.666684	208.385369	
MIR152	0	0	0	
CHST14	-0.301170435	14.737621	11.772554	
CMTM2A	0	0	0	
ZFHX2	0.259664394	0.773396	1.12311	
MIR7663	0	0	0	
2010310C07RIK	-0.002701302	0.044558	0.042604	
SH3RF2	0	0	0	
BPIFA5	0	0	0	
HAUS7	0.138294761	5.9220735	6.618458	
DIAP3	0.292158371	13.20542	16.394122	
SAPCD2	0.279022083	2.112398	2.776497	
ZMYND19	0.713241853	25.183459	41.927363	
AK010878	0.19378923	6.989393	8.137979	
TNNT1	-0.055920483	0.409635333	0.356041667	
TEX11	-0.014094824	0.018749	0.0088445	
ZAR1	0	0	0	
SH3BP2	-0.430066852	20.46696533	14.93336967	
GM3458	0	0	0	
SEMA6C	0.001589225	0.0083712	0.0094826	
MIR100	0	0	0	
CASP8	-0.039363479	15.95624867	15.49985733	
HNRNPA2B1	0.352908503	100.8004187	129.0126497	
TRIM6	-0.243611435	0.45672	0.230387	
H2-DMA	-1.711553213	9.951571	2.343856	
EIF2B1	0.777052167	20.966499	36.642361	
6030408B16RIK	0.018868882	0.032373	0.045964	
UBE2M	0.066304089	32.134627	33.69298	
GIMAP6	0.629429392	0.46621	1.268158	
HES3	0	0	0	
MIR6370	0	0	0	
ORAI1	-1.261938001	41.787524	16.841689	
GOLGA1	0.005830313	1.185486333	1.194336333	
GTF2IRD2	0.0962754	2.397897	2.632386	
CD177	-0.725240352	5.234717	2.771357	
ZFP770	0.66597191	2.129623	3.965575	
CPSF4L	-0.013986709	0.018725333	0.008896667	
GRHL1	0.213651875	0.1398805	0.321828	
SMTN	-0.104641019	0.799797	0.6738766	
CXX1A	-0.698285746	12.253907	7.168437	
MIR18	0	0	0	
OLFR196	0	0	0	
CAMK2G	-0.215556707	3.907814	3.226677	
MIR5104	0	0	0	
SLITRK4	0	0	0	
RAB3D	-1.124746147	18.154933	7.784121	
ZIC3	0	0	0	
WDR8	0.282504094	8.872855	11.008395	
ATP8A2	0.00682757	0.049175	0.054152	
CHD3OS	-0.447268089	2.446139	1.527503	
MIR455	0	0	0	
BAG3	0.083016168	28.17454	29.902554	
FAM73B	0.624840678	2.5519955	4.477321	
4933426M11RIK	-0.084205148	10.3922535	9.7463595	
UBR2	0.160145804	6.779881	7.6932395	
CYP4F14	0	0	0	
FAM160A2	0.153331727	0.36637275	0.51959075	
PCYOX1L	0.224379218	9.648474	11.44034	
RPL41	0.341756216	1868.349544	2368.023608	
GM4944	0.113826495	3.070358	3.404512	
C430049B03RIK	-0.073199194	0.194369	0.135281	
MIR412	0	0	0	
MIR216C	0	0	0	
HIPK3	-0.142410566	8.8236965	7.900309	
GM766	0	0	0	
4933406K04RIK	0	0	0	
4933436C20RIK	0	0	0.198314	
HLCS	0.272623059	2.448185	3.165415	
FAM98A	0.452070972	18.802909	26.090431	
C130046K22RIK	0	0	0	
BC039771	-0.022076846	0.03997	0.024177	
GABRG2	0	0	0	
OLFR575	0	0	0	
RPL35A	0.370521266	290.780887	376.2201257	
OLFR1299	0	0	0	
ELP5	0.078293047	17.2564875	18.274618	
RBMX	0.275612919	5.658339	7.059974333	
TBC1D9	-1.210561373	4.672703	1.4511775	
MAOA	0.492877009	1.845676	3.004573	
4930519H02RIK	0	0	0	
MIRC35HG	0.023097997	0.0022205	0.0183955	
DMTF1	-0.03049353	4.1741135	4.0658985	
PLA1A	-0.026366843	0.080612	0.061042	
FBLN7	0.013329461	0.010548	0.019928	
CNTN4	0	0	0	
KLHL7	0.179540817	1.664183	2.0172495	
ALG2	-0.065988297	9.396961	8.93212	
FITM2	0.379186511	3.569954	4.94372	
INO80	0.415760526	7.20185	9.941282	
ADRA2A	0	0	0.007486	
PTRH2	0.461489259	2.4034885	3.686476	
SMIM4	-0.225305272	30.591849	26.02411	
PRDX2	0.470845612	137.287491	190.655616	
OLFR810	0	0	0	
KLHL36	-0.227245568	4.78533	3.942201	
MIR7026	0	0	0	
MIR6406	0	0	0	
ZFP526	0.147743846	2.582953	2.969323	
MIR710	0	0	0	
TLCD2	-0.610161365	2.1078785	1.036044	
SWAP70	1.065009371	23.033105	49.281665	
MIR7015	0	0	0	
2310002D06RIK	0	0	0	
VPS13D	0.006793992	2.0040195	2.0181995	
TRAM2	-0.029019642	2.863979	2.787032	
LLPH	0.679593339	62.16319	100.167737	
RAB33A	-0.142601775	0.415466	0.282248	
PCDHA2	0	0	0	
TMEM86B	0.113830789	1.402113	1.599321	
2010010A06RIK	0	0	0	
TRAPPC13	0.092111607	3.5490925	3.8490105	
DPYSL3	-0.011270995	0.013233	0.005348	
RIT2	0	0	0	
OLFR1377	0	0	0	
SETBP1	-0.004446011	0.005851	0.002756	
ANKRD1	-0.026137152	0.018282	0	
AOAH	-1.03874973	7.42476	3.1007445	
OLFR518	0	0	0	
SKINT5	0	0	0	
MIR450-1	0	0	0	
ODF2	-0.037291455	3.7102558	3.590063	
CDC37L1	-0.022083272	1.59777525	1.558314	
MIR466N	0	0	0	
NDUFV1	0.659944947	40.635273	64.784661	
STAB2	0	0	0.00339	
TOX4	-0.044121239	17.987006	17.415125	
IER2	-0.298874334	30.598634	24.6861	
FCRLA	-0.029231458	0.077369	0.055759333	
CYP2D40	0	0	0	
DBX2	0	0	0	
DNAJC2	0.829766092	32.614837	58.746916	
RAB10OS	0.406099807	3.909783	5.505947	
URAD	0	0	0	
MOBP	-0.001759921	0.003165667	0.001942667	
BC100530	-0.444397099	0.844723	0.355671	
DLX1AS	-0.047289916	0.044082	0.010413	
GM4850	0	0	0	
SEZ6L	0	0	0	
EXOC7	-0.037249036	5.73093	5.559368	
TNS1	-0.150403849	0.354319	0.220239	
MPHOSPH8	-0.15355522	12.700385	11.317088	
LRIT1	0	0	0	
MTHFD1	0.841457945	20.629656	37.757316	
LILRA5	-0.818648914	0.913736	0.085036	
CERS2	0.090508087	180.598027	192.355609	
FRMD6	-0.109529565	4.741861	4.322075	
GM3259	0	0	0	
PLCB1	-0.16711686	0.2022025	0.0707065	
CCDC162	0	0	0	
HSD3B2	0	0	0	
POM121L2	0	0	0	
ZRANB3	-2.625098673	14.839425	1.5674735	
E2F1	0.075829739	12.389332	13.1119145	
NTNG2	-0.174085506	0.2840585	0.1380985	
0610031O16RIK	0	0	0	
MIR1899	0	0	0	
TUT1	0.612608489	8.774826	13.945917	
GRM7	0	0	0	
SPATS1	0	0	0.056808	
1700003L19RIK	0	0	0	
RAD18	0.7277058	4.895406	8.7628135	
BRD9	0.128016581	14.998666	16.483187	
BGLAP	0	0	0.057133	
PMVK	-0.706902466	9.566007	5.473096	
SREK1IP1	-0.17037464	8.000225	6.997707	
ESPNL	0	0	0	
1110008F13RIK	-0.256549056	161.288762	134.849951	
VMN2R92	0	0	0	
STOML3	0	0	0	
OLFR688	0	0	0	
KLHL13	0	0	0	
SNRPA	0.345844738	23.11965967	29.65355267	
MAL	0	0	0.0224155	
ESX1	0	0	0	
GTF2I	0.413426584	5.0667408	7.0799606	
DLX6OS1	0	0	0	
CHRNA3	0	0	0.009231	
MIR432	0	0	0	
GM10451	0.12520779	0.207249	0.316704	
HORMAD1	0	0	0.005487	
TMEM39B	0.362860521	7.747545	10.249108	
EDIL3	-0.299560376	0.7688155	0.4371625	
CLEC1B	0.055850019	0.128066667	0.172593	
TMEM44	0	0	0.006668	
FMN2	0	0	0	
CACNA1I	-0.004284208	0.002974	0	
CCDC33	0	0	0	
SLC25A18	-0.222221679	0.22089	0.046601	
LRRN1	0	0	0	
POGZ	0.203459428	1.8110915	2.2368485	
OSER1	0.007235516	41.508215	41.721941	
BCR	0.383531609	1.094566	1.732427	
FAM173A	-0.293800825	16.4232285	13.2130005	
1700129C05RIK	0	0	0	
RBAKDN	0	0	0.029312333	
CTS8-PS	-0.010884485	0.009824	0.002234	
OLFR1355	0	0	0	
CAGE1	-0.023352472	0.150507	0.132034	
HERC6	0.100197143	2.979203	3.265387	
OLFR1490	0	0	0	
ADAM19	-0.10495856	0.346267	0.251801667	
GM156	0	0	0	
CTDSPL	-0.454547824	5.172837	3.504559	
USP1	0.36936516	15.4482495	20.24759	
TMEM198	0.34716071	0.043213	0.327024	
SLC4A11	0.076076142	0.161836	0.224746	
SORD	-0.231381711	27.770855	23.507552	
GM15679	0	0	0	
ZDHHC23	0.286980924	0.026579	0.252513	
GSK3A	0.240341204	44.877702	53.194045	
CHTF8	0.280523421	48.734838	59.409699	
PRKX	-0.712713746	12.731996	7.37887	
TMEM234	-0.190707537	49.26254	43.038827	
MIR669A-3	0	0	0	
YPEL4	0	0	0.149942	
HOXA11	0	0	0	
9530002B09RIK	0	0	0	
FOXL1	0	0	0.000978	
WIZ	0.540262434	3.599974333	5.689453	
IFNK	0	0	0	
AGAP1	-0.425551373	2.2427045	1.414369	
FRMPD1OS	0	0	0	
VAX2OS	0	0	0	
ARIH2	0.157553171	12.442636	13.993833	
VSX1	-0.004072745	0.002827	0	
HAS2	0.007091866	0.028246	0.033313	
CSPG5	0.013969546	0.0275455	0.0375435	
SRRM1	0.644469233	23.4658505	37.244139	
1810014B01RIK	0.586067765	1.108548	2.165246	
SSBP1	0.618120799	5.63109	9.177891667	
BMPR2	-0.255993936	4.723089	3.792572	
SELL	-0.657483744	1.627257	0.6656365	
6030458C11RIK	0.298428671	4.711777	6.0243675	
ARSK	0.105398784	4.511196	4.928899	
SAMD5	0.045552597	0.037364	0.070641	
CACNA2D2	0.001395959	0.0007506	0.0017194	
ONECUT3	-0.003360448	0.002332	0	
OLFR1128	0	0	0	
FCF1	0.70420945	43.805906	72.000096	
4930596I21RIK	0	0	0	
TPO	0	0	0	
NGRN	0.313873686	3.776432	4.9373	
OLFR678	0	0	0	
OLFR1301	0	0	0	
CTNNAL1	0.340066961	0.30307	0.649446	
ZFYVE27	-0.018289631	2.572765	2.5277575	
A930005H10RIK	-0.083799213	1.110232333	0.991151	
A530072M11RIK	-0.007223038	0.103899	0.098386	
MKI67	-0.037192536	73.787243	71.883875	
CEND1	0.024673134	0.019642	0.03723	
GM16432	-0.027948094	0.019561	0	
GPX4	0.225341974	56.81830133	66.59273533	
TACR3	0	0	0	
REG1	0	0	0	
ZFP820	0.026280889	0.148587	0.169702	
ZFP687	0.3415303	4.149058	5.524371	
PEX26	0.101554211	2.278188	2.517262	
PELP1	0.508618816	21.291768	30.71422	
GM13279	0	0	0	
KATNAL2	0.29681353	0.038856	0.27616	
MIR5132	0	0	0	
AARD	0	0	0	
HK3	-2.192896649	29.54522875	5.68060375	
AADAT	0	0	0	
LACTB2	-0.580492183	16.244026	10.531694	
ADAT1	0.783158605	1.795849	3.811361	
PEAR1	-0.023881206	0.044449667	0.027303	
GM11744	-0.067428079	0.047847	0	
OLFR948	0	0	0	
PRPF4B	0.552507254	16.553327	24.744277	
1700024I08RIK	0	0	0	
KLF2	-1.891666625	30.644626	7.528086	
GDF15	-1.598553125	3.244422	0.401542	
SYNE1	-0.955132447	6.336295	2.784018667	
OLFR600	0	0	0	
SEMA6A	0	0	0.004019	
UBR7	0.077600036	13.623047	14.431133	
GATAD2B	0.454382709	8.685202	12.270629	
TCIRG1	0.701040874	56.05690433	91.756112	
CCNE2	0.18558923	4.86342	5.668358333	
FAM69B	0.360379099	0.120762	0.438793	
1700010I14RIK	-0.211039339	1.278555	0.968477	
1700061I17RIK	0	0	0	
NOXA1	0	0	0	
MYO15	0	0	0	
POLR3F	0.384972612	4.853336	6.643491	
PNPLA5	0	0	0	
INTS8	0.321116264	6.629053	8.5309515	
RIAN	0	0	0	
MIR7646	0	0	0	
ROMO1	-0.117668987	22.671339	20.81729633	
SLC30A6	0.191966741	3.610286	4.2664215	
KLK7	0	0	0	
MIR7050	0	0	0	
1700023L04RIK	-0.044651508	0.031434	0	
WIPF3	-0.000421949	0.003658	0.0033645	
LRFN2	0	0	0	
ACSM2	0.00285062	7.47E-05	0.002052667	
STON2	-0.031900753	0.183946	0.158054	
TXNDC16	-0.857809622	4.856775	2.231708	
ANKRD46	-0.330681423	10.631061	8.248564	
FEN1	0.266481467	17.268179	20.97425567	
PFKP	-0.410536331	15.776942	11.6220255	
MIR7030	0	0	0	
CNFN	0	0	0	
ZIC2	0	0	0	
SLC16A8	0	0	0.017032	
METTL8	0.42559925	3.584438	5.1574975	
AMZ2	0.051128026	3.2964735	3.4514675	
2810032G03RIK	0	0	0	
TRRAP	0.23952752	8.802296	10.572649	
CDSN	0	0	0	
CRY2	-0.054724827	2.229144	2.108949	
ADAMTSL2	0	0	0	
KPNA4	-0.722096744	47.314183	28.288819	
ZBBX	0	0	0	
RORC	0	0	0	
SBSPON	-0.000880539	0.011215	0.010598	
LIPH	-0.026830568	0.0305055	0.01151775	
DUSP2	1.629420655	0.807358	4.591762	
ZFP622	0.334777676	13.272481	17.000211	
LOXL1	0.035695636	0.009103	0.034382	
WWC1	0.638981716	0.009171	0.571511	
KCNE4	0	0	0	
1810065E05RIK	0	0	0	
GM3230	-0.002278792	0.030228	0.028602	
ACOT7	0.8908849	21.56166067	40.836384	
LAT	0.666641037	0.277153	1.027318	
SH2D7	0	0	0	
FOXG1	-0.004460338	0.0073225	0.004213	
ELMSAN1	0.039172795	3.69469	3.823909	
METTL13	1.059826977	4.060244	9.548997	
AQP6	0	0	0	
ADAM22	-0.007877852	0.026817333	0.021225667	
COPS7A	0.476979289	19.786206	27.9307905	
CCM2	-0.218323498	6.960393333	5.842465333	
PRRXL1	0	0	0	
8030423F21RIK	0	0	0	
LINGO2	0	0	0.002005	
4930447M23RIK	-0.019162448	0.013371	0	
TAAR6	0	0	0	
NCAPG	-0.028554615	19.531367	19.128994	
SGK2	0	0	0	
COPS6	0.253759125	84.304432	100.709309	
THBS2	0.012105063	0.014967	0.023519	
BC030336	-0.105710288	3.272263	2.970416	
RFC3	0.288537354	22.476333	27.674025	
INTS1	0.2856449	13.455795	16.620964	
DNTTIP1	0.540465115	24.868399	36.624069	
OPALIN	0	0	0	
CD200R2	0.007364908	0.012306	0.017487	
2410002F23RIK	1.311850239	13.048449	33.876641	
9430037G07RIK	-0.027183596	0.615144	0.584996	
HEXB	-0.868209314	189.341407	103.274047	
GM5129	0	0	0	
GPR137C	-0.001956854	0.025476	0.024086	
CEACAM16	0.906309954	0.219384	1.285425	
SLC10A3	0.365269139	5.963325	7.9696115	
MAPK8IP1	0.016219004	0.027869333	0.03949	
CAPN9	0	0	0	
INPP5F	0.127094502	5.798652	6.424754	
GM6642	0	0	0	
ANK2	0.012878435	0.041642	0.050982	
GM5464	-0.0011209	0.014618	0.01383	
C430002N11RIK	0	0	0	
IGFBPL1	0	0	0.010678	
C330046G13RIK	-0.036906193	0.050521	0.023988	
PDK3	0.132911082	7.976187	8.842425	
CDKN1B	0.054389229	7.104267	7.415628	
WAP	0	0	0	
MRGPRB2	0	0	0	
YEATS2	0.396926634	1.824589333	2.719136667	
GJB5	0	0	0	
GM5142	0	0	0	
4930502E18RIK	0	0	0	
3110047P20RIK	0	0	0	
SPN	0.574142713	3.458287667	5.637465333	
FAM19A1	-0.011903387	0.011701	0.003388	
PACS2	-0.519538996	5.858382	3.784371	
BAHCC1	2.034588365	0.336127	4.47419	
H2-T22	-0.137507793	9.612156	8.647386	
ZFP777	0.401776801	3.847313	5.40395	
RN45S	-0.038767834	63.575857	61.863694	
PRKACB	-0.89316104	17.74558525	9.09324325	
PACRGL	0.18055772	3.352585	3.93288	
D630045J12RIK	0.06331528	0.062409	0.110073	
SERPINA1A	0.125585901	0.043384	0.1382805	
UBC	-0.283255162	503.99082	413.96855	
NOVA1	0	0	0.003956	
ZFP623	0.319958866	2.925855	3.900625	
GM4937	0	0	0	
SERPINB6E	0	0	0	
ZFP398	0.349982358	0.413921	0.802106	
IRGM2	0.000617483	3.671826	3.673826	
P2RY13	-1.780943766	3.194926	0.220694	
NEUROD6	0	0	0.004155	
ACTL7A	0	0	0	
ANKZF1	0.264430855	1.032233	1.44104125	
ACPL2	0.049000535	1.00E-06	0.034549	
IMPDH1	0.36922072	10.02626933	13.24213533	
FABP5	0.637000024	64.037428	100.1391903	
HMX1	0	0	0	
CLDN8	0	0	0	
DNAJB2	0.270156147	0.624561	0.9591204	
VMN2R46	0	0	0.003853	
SNORA74A	0	0	0	
ARFGAP2	0.415892115	12.577123	17.1135575	
ZAK	-0.289825829	5.433719	4.262787333	
ABCC3	-2.443366904	62.543012	10.682642	
MIRG	0	0	0	
CDR2L	-0.00317775	0.040803	0.038513	
GM5347	0	0	0	
CLNK	0	0	0	
GM19277	0	0	0	
BTG1	1.438969996	14.055935	39.820739	
TEX26	0	0	0	
SCARB1	-0.57947435	18.50870767	12.05537467	
DAB1	0	0	0	
JAG2	-0.897813378	1.267125	0.216765	
ACER1	0	0	0.043648	
SLC25A26	0.451923512	3.727279	5.466269	
HGF	-0.252023254	0.297111	0.0892074	
FBXW24	0	0	0	
ACYP1	-0.072394211	6.30795	5.950287	
LCE1E	0	0	0	
ZFP804B	0	0	0	
CDCA8	0.063565775	66.874329	69.931763	
SERF1	0.389133922	9.132856	12.270059	
4930483O08RIK	0	0	0	
TUBB2B	-2.174396334	24.359398	4.617983	
PCDHGB2	-0.097049604	0.195199	0.117443	
RTN3	-0.290163383	19.8275772	16.0329892	
GM4791	0	0	0.033302	
MIR125A	0	0	0	
SNRPE	0.51531635	187.09268	267.842282	
APOOL	-0.161060663	13.975627	12.393711	
EDEM3	-0.098887817	11.675703	10.83597	
INSM1	0.020461179	0.014796	0.029291	
KCNJ16	0.011849633	0.0193318	0.0277386	
PPP1R3B	-1.557169801	3.941035	0.679048	
KCTD4	-0.110998773	0.142098	0.057522	
1700123O12RIK	0	0	0.07602	
CALML4	-0.061483137	0.043538	0	
NDUFS7	0.384687123	85.290752	111.659188	
MMP25	-0.323513257	0.666216	0.331509	
IFNA14	0	0	0	
GM5114	0	0	0	
LCE1F	0	0	0	
DNASE1L2	0.233479503	0.387261	0.630957	
DSE	-1.278635954	27.184087	10.617059	
POLR1E	0.535654294	1.8295365	3.1016945	
PRKRIP1	0.365646037	9.172057	12.106273	
SCO1	0.622841743	3.324513	5.659341	
PITPNM1	0.705634969	4.438358	7.869213	
MRPL44	0.559987194	18.20197	27.308622	
TBC1D8	-0.041619292	2.815776	2.70727	
MIR7048	0	0	0	
GM6289	0	0	0	
FOXN1	0	0	0	
MIR217	0	0	0	
NME3	0.28727306	11.141557	13.816724	
SAP30BP	0.418106263	14.222352	19.339688	
BC021891	0	0	0	
PTPN5	0.133893228	0.020234	0.1194525	
PLA2G12B	0	0	0	
LIPO1	0.060135553	8.305391	8.701463	
RPL7L1	0.477210165	51.144404	71.587574	
PHLDB2	-0.004304792	0.0080865	0.005083	
IKBKAP	0.67489459	7.624958	12.769574	
BC051628	0	0	0	
SP8	0	0	0.025176	
ZIC4	0	0	0	
MKL2	-0.529909221	2.286597667	1.276292	
GKN3	0	0	0	
ATG4B	0.068049645	11.588308	12.196305	
EIF5	0.461379616	37.2669	51.6880815	
MPTX2	0	0	0	
SECTM1A	0	0	0.019173	
MIR804	0	0	0	
TAF9	0.070733493	33.5192085	35.2538165	
CES3B	0	0	0	
VMN2R27	0	0	0	
RXRA	-1.554356326	6.909145333	1.692909	
POP1	0.840687103	2.508726	5.2837875	
VMN1R13	0	0	0	
EPS8	-0.590933939	2.318653	1.2032968	
VASH1	-0.481842715	2.366962	1.410955	
NUDCD1	0.76356524	3.146801	6.0399445	
HHIPL2	0	0	0	
MIR9769	0	0	0	
CLK3	0.195155481	18.341054	21.142558	
GM5134	-0.006371757	0.086723	0.081934	
TMEM18	-0.063602589	7.511002	7.143937	
ELK1	-0.30204954	7.183649	5.637752	
DMBX1	0.00099892	0.0012445	0.001938	
MIR7218	0	0	0	
EAF2	0.051935186	0.011353	0.048423667	
CAPRIN1	0.318494107	19.7312732	24.8524826	
BC030870	0	0	0	
WBSCR27	-0.166979885	0.472057	0.311169	
TMOD1	-0.26942143	6.182476	4.958957	
MIR6903	0	0	0	
MIR449C	0	0	0	
SERPINA3A	0	0	0	
A430089I19RIK	0	0	0	
PPP6C	0.109189891	34.337604	37.115931	
SMARCAD1	0.315970704	3.9634845	5.1787885	
TLE1	0.116418637	1.4207214	1.62416	
TSLP	-0.023366957	0.0459485	0.029144	
4930412D23RIK	0	0	0	
4931423N10RIK	-0.024918195	0.017422	0	
TMCO4	0.15675442	2.214353	2.583285	
MARF1	-0.128781318	9.454471	8.561698	
E2F7	-0.47857172	4.794195	3.158423	
CD14	-1.345599744	240.206494	93.912434	
NUDT5	0.459256667	27.654383	38.394999	
SH3GLB2	0.246729214	6.302551667	7.664580333	
GRID1	0.000212638	0.010851	0.011	
GM12887	0	0	0	
TSPY-PS	0	0	0	
USP16	0.565933431	14.670381	22.19757	
GOLGB1	0.143275012	5.933737	6.657684	
VMN2R49	0	0	0	
KCNS3	0	0	0	
IL1R1	1.016538101	0.0503245	1.124868	
VMN2R-PS129	0.056778672	0.035234	0.076789	
PKIB	-0.53251261	0.611991667	0.114449833	
LIMK2	0.266473405	1.512758667	2.022506667	
DMR	0	0	0	
PRKCE	-0.061481181	0.415788	0.356721	
FAM115C	-0.010119556	0.007039	0	
ARVCF	-0.160668701	0.195159667	0.069202167	
KRIT1	0.046077875	1.1883	1.259319667	
PDHB	0.785682661	41.375805	72.051983	
RSF1OS1	0	0	0	
SNTG2	0	0	0	
LSM5	0.430696329	37.458157	50.837134	
MPP6	0.448216957	14.98222167	20.805392	
PDZD9	0.07347082	0.050567	0.105454	
RPS6KA5	-0.242605203	4.032796	3.253808	
LCE1L	0	0	0	
FIBCD1	0	0	0	
TMEM194	0.069455631	2.6136775	2.7919065	
ZFP580	-0.054072859	0.572278	0.514439	
GPBAR1	0	0	0	
4932438A13RIK	-0.002018019	3.492038	3.485759	
SLC10A5	0	0	0	
TBC1D9B	-0.403561372	5.794133333	4.136295333	
GSN	-0.291789412	55.2015965	44.91042225	
ARFGEF2	0.203020809	12.099604	14.079034	
DHCR24	-1.348430899	37.399408	14.080175	
MAN1B1	-0.091319763	28.525392	26.714413	
DEFA-RS1	0	0	0	
ANKS6	0.00901051	0.545373	0.555055	
1700001O22RIK	0	0	0.021912	
MIR7060	0	0	0	
COQ5	0.459890972	18.674848	26.061531	
ALOX12B	0	0	0	
MIR18B	0	0	0	
ALDH16A1	0.325430021	26.649276	33.64559	
GM19782	0	0	0	
BC049635	0	0	0	
MIR449B	0	0	0	
1-Mar	-0.566118952	0.6747896	0.1312054	
OPN1SW	0.016320648	0.012935	0.024459	
PPARA	0	0	0.001919	
TMEM54	0	0	0.030888	
MIR21B	0	0	0	
NONO	0.315497786	62.907168	78.5286975	
OLFR644	0	0	0	
HGS	0.086218969	13.5060865	14.399434	
GM6268	0	0	0	
ANKRD16	0.131349525	4.14075	4.630755	
SLC16A14	0	0	0.025158	
C030037D09RIK	0	0	0.031916	
CHRNA6	0	0	0	
PHF3	0.304027175	9.266889	11.675356	
SPEER3	0	0	0	
ITK	-0.004033326	0.0027996	0	
TRIM33	0.235929098	2.544293	3.1739895	
CALR3	0.184668952	0.0584035	0.202935	
PRKRIR	0.398798567	8.2928	11.251716	
SET	1.182280023	72.5845735	165.989255	
RDX	0.30611448	13.979976	17.52084333	
GABRB2	0	0	0	
EMD	0.353633196	29.459659	37.920574	
OLFR1097	0	0	0	
ATP1A1	0.272707972	232.468975	281.047631	
4930448I18RIK	0	0	0	
SLC10A7	-0.115200027	2.3257444	2.0705078	
A630066F11RIK	0.154575823	0.734747	0.930937	
NDST3	-0.058086831	0.130942667	0.086312333	
HBEGF	1.574564177	0.157718	2.448211	
OLFR352	0	0	0	
UTP14A	0.73568992	15.400717	26.310369	
CACNA1E	-0.016376506	0.011416	0	
PBX3	-0.436937644	1.834599	1.093921	
S100A9	-0.774872278	249.7862665	145.5696165	
AWAT1	0	0	0	
SENP3	0.294845311	21.156553	26.1806275	
1700027H10RIK	0	0	0	
LUC7L	0.674632659	4.86819975	8.3667635	
FAM114A1	-0.957928502	2.754405	0.932751	
CYBA	-0.118972748	356.937266	328.6040585	
SEMA3C	0.652574447	0.774587	1.789599	
MIR130B	0	0	0	
3010033K07RIK	0	0	0	
GM428	0	0	0	
GJB1	0	0	0	
KLHL5	0.027891187	21.709282	22.152585	
SCNN1A	-0.054949857	0.251174	0.204415	
TRIM12A	-0.008495417	6.6222	6.577448	
TWF1	-0.752299702	58.165309	34.12387	
CD37	-0.168339957	27.49175167	24.35384167	
VMN2R105	0	0	0	
MCPT8	-0.345172658	0.270303	0	
GBA2	0.279182594	4.248218	5.36875	
NUP54	0.571891806	16.801349	25.461198	
MIR28	0	0	0	
TUBGCP6	0.085111724	5.212666	5.590209	
CC2D2A	0.757539122	0.647231	1.784816	
PITX2	-0.000337931	0.00444725	0.004212	
KLK1B21	0	0	0	
SENP7	0.095683301	0.72771025	0.84618175	
NTAN1	-0.311554292	29.576098	23.6374	
D1ERTD622E	-0.877112273	52.875848	28.333036	
ARHGAP17	-0.746353456	5.3598704	2.791172	
AADACL2	0	0	0	
CACUL1	-0.111550688	7.181387	6.572631667	
ADORA1	0	0	0.001231	
TRIM2	0.093709405	0.0323024	0.1015806	
MRPS36	0.242064583	16.5121275	19.711312	
MAP1LC3A	-0.480420043	3.5308355	2.247562	
ERCC8	0.591355739	3.373881	5.58996	
